family,gender,mean_conv
adverbs,F,0.02529548351377897
adverbs,M,0.010570359402354576
articles,F,0.024748862993367843
articles,M,-0.006004923808051265
auxiliary_verbs,F,-0.0002001201157657423
auxiliary_verbs,M,0.0199145943471259
conjunctions,F,-0.02664728240459978
conjunctions,M,0.01765250480981746
impersonal_pronouns,F,0.08129263372110099
impersonal_pronouns,M,0.021456337274116635
negations,F,0.006222229148607255
negations,M,-0.005592542481948375
personal_pronouns,F,-0.011070443186128234
personal_pronouns,M,0.016800074978365127
prepositions,F,0.05261376926193797
prepositions,M,0.005435785839340295
quantifiers,F,0.031312417724989605
quantifiers,M,0.006554534240322374
