family,gender,mean_conv
adverbs,F,0.08703503286836618
adverbs,M,0.08476030142696808
articles,F,0.036791383219954635
articles,M,-0.1971717171717172
auxiliary_verbs,F,0.05984126984126983
auxiliary_verbs,M,0.06906204906204905
conjunctions,F,0.0041446208112874755
conjunctions,M,0.0011028653885796688
impersonal_pronouns,F,0.054705215419501116
impersonal_pronouns,M,-0.05155122655122657
negations,F,0.2326388888888889
negations,M,0.0724025974025974
personal_pronouns,F,0.01762265512265513
personal_pronouns,M,-0.0006184291898577642
prepositions,F,0.027421536796536798
prepositions,M,0.007080545716909344
quantifiers,F,-0.006481481481481491
quantifiers,M,0.07972582972582971
