family,gender,mean_conv
adverbs,F,0.04709897017469501
adverbs,M,0.0010383340746080434
articles,F,-0.008040121913705355
articles,M,-0.01884373095350987
auxiliary_verbs,F,-0.0010591867907845942
auxiliary_verbs,M,0.030855394723167357
conjunctions,F,0.011327497011230245
conjunctions,M,-0.015803067021229907
impersonal_pronouns,F,-0.01613232964814826
impersonal_pronouns,M,0.013105490624910947
negations,F,-0.033948577927490245
negations,M,-0.004925672892420616
personal_pronouns,F,-0.014357055660708362
personal_pronouns,M,-0.00141075184686825
prepositions,F,-0.002363980028948251
prepositions,M,-0.01749686688796793
quantifiers,F,0.04112843033486762
quantifiers,M,0.0231106128897147
