family,importance,mean_conv
adverbs,intermediate,0.016721789818574747
adverbs,major,0.01641423978968132
adverbs,minor,-0.13333333333333341
articles,intermediate,-0.004101446030231646
articles,major,0.005775112034646413
articles,minor,0.0
auxiliary_verbs,intermediate,0.003666051966948953
auxiliary_verbs,major,0.021103541930571523
auxiliary_verbs,minor,0.06666666666666665
conjunctions,intermediate,-0.014206748964698935
conjunctions,major,0.017571482614946496
impersonal_pronouns,intermediate,0.040786962977841214
impersonal_pronouns,major,0.03115843747578117
impersonal_pronouns,minor,0.06666666666666668
negations,intermediate,-0.021856182983707454
negations,major,0.01216301581363656
negations,minor,-0.06666666666666671
personal_pronouns,intermediate,0.008685039170153758
personal_pronouns,major,0.014739498994476562
personal_pronouns,minor,-0.025000000000000022
prepositions,intermediate,0.007543687096321495
prepositions,major,0.026606170758343355
prepositions,minor,-0.01666666666666668
quantifiers,intermediate,-0.059856729508622315
quantifiers,major,0.06217607333675798
