family,importance,mean_conv
adverbs,intermediate,0.04444444444444443
adverbs,major,0.09418831168831168
articles,intermediate,-0.2
articles,major,-0.032831890331890344
auxiliary_verbs,intermediate,0.09166666666666665
auxiliary_verbs,major,0.05764790764790764
conjunctions,intermediate,0.07499999999999998
conjunctions,major,-0.007498453927025357
impersonal_pronouns,major,0.01606650924832741
negations,major,0.12581469456469455
personal_pronouns,intermediate,-0.05666666666666668
personal_pronouns,major,0.023426226551226555
prepositions,intermediate,-0.07083333333333336
prepositions,major,0.0387061087061087
quantifiers,major,0.028001443001442992
