family,importance,mean_conv
adverbs,intermediate,0.013772852401148549
adverbs,major,0.025608455617899633
adverbs,minor,-0.059523809523809514
articles,intermediate,-0.02647551562422252
articles,major,-0.009122750431997086
articles,minor,9.25185853854297e-18
auxiliary_verbs,intermediate,0.0211474178828002
auxiliary_verbs,major,0.023879381325009795
auxiliary_verbs,minor,0.03703703703703704
conjunctions,intermediate,-0.037480611100308245
conjunctions,major,0.01814328907631052
conjunctions,minor,-0.08333333333333331
impersonal_pronouns,intermediate,0.030740850059031877
impersonal_pronouns,major,-0.013313432753951162
impersonal_pronouns,minor,0.009523809523809521
negations,intermediate,-0.006046166807165614
negations,major,-0.03174107234504258
negations,minor,0.10833333333333332
personal_pronouns,intermediate,0.005963857204916237
personal_pronouns,major,-0.007300890473103394
personal_pronouns,minor,-0.029166666666666674
prepositions,intermediate,-0.011182136828688552
prepositions,major,-0.010336711284301565
prepositions,minor,-0.0425925925925926
quantifiers,intermediate,0.0635596108871971
quantifiers,major,0.013958684048932045
quantifiers,minor,-0.03571428571428571
