family,importance,mean_conv
adverbs,intermediate,0.043822226412426044
adverbs,major,-0.0058119744487490025
adverbs,minor,-0.006666666666666687
articles,intermediate,-0.042305664112072254
articles,major,0.04055010540758213
articles,minor,-0.1
auxiliary_verbs,intermediate,0.013678426419524107
auxiliary_verbs,major,0.023017063210834906
auxiliary_verbs,minor,-0.030000000000000006
conjunctions,intermediate,0.07483092012076745
conjunctions,major,-0.031926611201671215
conjunctions,minor,0.0
impersonal_pronouns,intermediate,0.0276967093943405
impersonal_pronouns,major,0.037821143378769545
impersonal_pronouns,minor,0.06666666666666667
negations,intermediate,0.0456206235013997
negations,major,-0.025971945984534842
negations,minor,0.0
personal_pronouns,intermediate,0.017996215193356757
personal_pronouns,major,0.0036368012252124883
personal_pronouns,minor,0.019999999999999997
prepositions,intermediate,-0.0024835680552559025
prepositions,major,0.03287828209538933
prepositions,minor,0.0
quantifiers,intermediate,0.036950931705922625
quantifiers,major,-0.00018841050550884902
quantifiers,minor,0.1333333333333333
