family,importance,mean_conv
adverbs,intermediate,0.04795517561193546
adverbs,major,-0.01614392684391235
adverbs,minor,0.004166666666666673
articles,intermediate,-0.023956372937764592
articles,major,-0.03307437327973385
articles,minor,0.0925925925925926
auxiliary_verbs,intermediate,0.01594187626750614
auxiliary_verbs,major,0.030662261156489793
auxiliary_verbs,minor,0.025
conjunctions,intermediate,-0.022577449832278298
conjunctions,major,-0.017654881070961064
conjunctions,minor,0.06481481481481483
impersonal_pronouns,intermediate,0.014043628797615443
impersonal_pronouns,major,0.0035510485140532798
impersonal_pronouns,minor,-0.0074074074074074086
negations,intermediate,-0.0420949421939998
negations,major,-0.0003177208832023602
negations,minor,0.1
personal_pronouns,intermediate,-0.00487423962011668
personal_pronouns,major,-0.010072499846514612
personal_pronouns,minor,0.01785714285714286
prepositions,intermediate,-0.0340382140831293
prepositions,major,-0.0025926542437563734
prepositions,minor,0.014814814814814824
quantifiers,intermediate,0.08046073821359255
quantifiers,major,-0.003286088148327143
quantifiers,minor,-0.027777777777777776
