character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Adela Quested,9,10,0.3498724108062054,0.2055797540018442,0.1653174603174603,0.31,F,major
Dr. Aziz,12,10,0.275693024553287,0.36093109757342023,0.3017063492063492,0.36000000000000004,M,major
Ronny Heaslop,5,5,0.2302701602522746,0.17792279862458038,0.05472222222222223,0.115,M,major
Hamidullah,5,5,0.18800201661550842,0.2611310003396182,0.038563492063492064,0.15333333333333335,M,intermediate
Dr. Panna Lal,3,2,0.18611111111111112,0.1236316365626709,0.035,0.10500000000000001,M,intermediate
Cyril Fielding,9,10,0.16227662605262091,0.31131708994390567,0.19511904761904764,0.1366666666666667,M,major
Mrs. Lesley,1,1,0.1555555555555555,1.2335811384723961e-17,0.0,0.0,F,minor
Mrs. Moore,4,4,0.1458058580065822,0.1563063880267026,0.009055555555555556,0.07500000000000001,F,major
Mr. Turton,4,5,0.1364927971677786,0.09341548623051932,0.13905555555555554,0.12833333333333335,M,intermediate
Professor Godbole,3,3,0.1270898917880886,0.0737451737451736,0.0,0.18666666666666668,M,intermediate
Mr. Das,3,5,0.0960784313725489,0.0115830115830116,0.051753968253968254,0.04666666666666667,M,intermediate
Miss Derek,3,1,0.0884353741496598,0.0748299319727891,0.0,0.0,F,intermediate
Mr. Haq,1,1,0.0736842105263158,0.0499999999999999,0.0,0.0,M,minor
Ralph,1,1,0.0726495726495726,0.0307950727883538,0.0,0.0,M,intermediate
Mahmoud Ali,4,4,0.043498817966903,0.0611702127659574,0.028888888888888895,0.016666666666666666,M,intermediate
Mrs. Turton,2,1,0.042971380471380397,0.0212765957446808,0.0,0.06333333333333334,F,intermediate
Mr. Mcbryde,3,3,0.022159323715253,0.0838851730397891,0.01888888888888889,0.0,M,intermediate
The Nawab Badahur,2,4,0.016548463356974,0.0490079365079365,0.010198412698412696,0.0,M,intermediate
Major Callendar,4,2,1.2335811384723961e-17,0.2666666666666665,0.08006349206349209,0.06833333333333334,M,intermediate
A Stray Subaltern,1,1,0.0,0.0,0.0033333333333333335,0.0,M,minor
Hassan,0,1,0.0,1.1102230246251566e-17,0.0,0.0,M,minor
Mohammed Latif,0,1,0.0,0.0,0.0,0.0,M,minor
Rafi,0,1,0.0,0.0,0.0,0.0,M,minor
Ram Chand,0,1,0.0,0.0,0.0,0.0,M,minor
Mr. Amritrao,1,0,0.0,0.0,0.0,0.0,M,minor
_unknowable,2,0,0.0,0.0,0.0,0.0,F,intermediate
