pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Adela Quested→Cyril Fielding,0.0235042735042734,0.053113553113553,0.0519230769230768,0.06,0.0948717948717948,0.1184210526315789,0.0525328330206378,0.0452182952182952,0.1032388663967611
Adela Quested→Dr. Aziz,-0.0877192982456139,0.1631701631701632,0.0,-0.2074592074592074,0.161084529505582,,-0.0108225108225108,0.0816864295125164,0.1287878787878788
Adela Quested→Mr. Mcbryde,,,-0.0153846153846154,,,,-0.0692307692307693,,
Adela Quested→Mrs. Moore,-0.0570175438596491,0.1593567251461988,-0.0025252525252524,0.0277777777777777,-0.0555555555555555,0.0854700854700855,0.0019157088122605,0.0534188034188034,0.2676767676767676
Adela Quested→Ronny Heaslop,-0.0053872053872053,0.0454545454545454,0.0025974025974025,0.0379446640316205,0.0909090909090909,0.1439393939393939,0.0040404040404039,-0.0032085561497325,
Cyril Fielding→Adela Quested,-0.0297619047619047,0.0833333333333333,-0.0277777777777777,0.0714285714285714,0.0147783251231526,-0.0357142857142857,-0.0127551020408164,0.0293040293040293,0.0453296703296703
Cyril Fielding→Dr. Aziz,-0.0161585365853658,-0.0407665505226481,0.0101424776624002,0.0568533150120232,0.0698126546482855,-0.100271002710027,0.0206341463414634,0.0378919860627177,0.0138816813700051
Cyril Fielding→Hamidullah,0.0883620689655172,-0.0567951318458417,0.0224137931034482,0.1405835543766578,0.1012931034482759,-0.1448275862068965,0.0114942528735632,-0.0203761755485893,0.0477453580901857
Cyril Fielding→Mr. Mcbryde,0.074712643678161,,-0.0363984674329501,-0.1065830721003134,-0.025287356321839,,0.026525198938992,-0.0229885057471265,0.0551724137931034
Cyril Fielding→Mr. Turton,,,,,,,-0.0357142857142857,,
Cyril Fielding→Professor Godbole,,,-0.0194805194805195,,,,,,
Dr. Aziz→Adela Quested,-0.0602240896358543,0.1145510835913312,-0.0316742081447963,-0.0441176470588235,0.1928104575163398,-0.0520361990950226,0.0123339658444022,0.0906862745098039,-0.1013071895424836
Dr. Aziz→Cyril Fielding,0.0378846267860318,-0.0084830339321357,0.0212965373600625,-0.0484964137658748,-0.0161474803202583,-0.0053226879574184,0.0169375534644996,-0.00091708474942,0.0143047238855621
Dr. Aziz→Hamidullah,0.0576923076923077,0.0384615384615385,0.0104895104895105,-0.006787330316742,-0.006993006993007,0.2307692307692308,-0.0346153846153846,-0.0121457489878542,
Dr. Aziz→Mrs. Moore,0.1291291291291291,-0.0162162162162162,0.03487358326068,0.0864864864864864,0.0108108108108108,-0.0289575289575289,0.0557432432432432,0.1314496314496314,0.0556438791732909
Dr. Aziz→Ralph,0.0081521739130434,-0.0507246376811594,-0.0338164251207729,,0.0592885375494071,0.0956521739130434,-0.0096618357487922,0.1337792642140468,
Hamidullah→Cyril Fielding,0.0266457680250783,0.0732758620689655,0.0603448275862068,0.0072595281306714,0.0172413793103448,0.1167108753315649,-0.0562613430127042,0.0705329153605015,0.1231527093596058
Hamidullah→Dr. Aziz,0.0,-0.0208333333333333,-0.0277777777777777,-0.0416666666666667,0.1363636363636363,-0.0378787878787879,0.0654761904761904,0.1071428571428571,-0.0595238095238095
Mr. Mcbryde→Adela Quested,,,,,,,-0.0857142857142857,0.0454545454545454,
Mr. Mcbryde→Cyril Fielding,0.0297805642633229,0.002155172413793,0.0659670164917541,-0.1293103448275862,-0.0410509031198687,-0.0057471264367816,0.026525198938992,-0.0016420361247947,-0.2884012539184952
Mr. Turton→Cyril Fielding,0.0,-0.0454545454545454,0.0397727272727272,,0.1079545454545454,,-0.0178571428571429,-0.1009615384615384,
Mrs. Moore→Adela Quested,0.1706349206349207,0.0347222222222222,0.0085470085470085,-0.0506535947712417,0.0175438596491228,,-0.0335249042145594,0.0416666666666666,0.1944444444444444
Mrs. Moore→Dr. Aziz,-0.074938574938575,,-0.033033033033033,-0.0050675675675675,,,0.0582120582120582,0.0576576576576576,
Mrs. Moore→Ronny Heaslop,-0.0214285714285713,0.0199999999999999,-0.0503448275862068,-0.0345454545454545,-0.0854545454545455,-0.22,-0.0221621621621621,-0.0258064516129032,-0.1177777777777778
Professor Godbole→Cyril Fielding,-0.0714285714285714,0.0649350649350649,-0.0164835164835164,,0.0999999999999999,,0.0259740259740259,0.0,
Ralph→Dr. Aziz,,,-0.0779220779220779,,,,0.0549450549450549,,
Ronny Heaslop→Adela Quested,0.0291060291060291,0.0346153846153846,0.1311188811188811,-0.0032051282051282,0.1294871794871794,-0.0692307692307692,0.0408067542213883,0.014957264957265,-0.0038461538461538
Ronny Heaslop→Mrs. Moore,0.1448240693523712,0.1632801161103048,0.0392254220456802,0.017650639074863,0.0320182961692395,-0.0636792452830188,0.0250205086136178,0.0013477088948787,0.0125786163522012
