A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Hamidullah,Mahmoud Ali,1,3,do not apologize you are always late,thank you dr aziz i am dying,Dr. Aziz; Mahmoud Ali,M,intermediate,M,intermediate
Dr. Aziz,Hamidullah,4,6,dying before your dinner oh poor mahmoud ali,yes that is so imagine us both as addressing you from another and a happier world,Hamidullah; Mahmoud Ali,M,major,M,intermediate
Mahmoud Ali,Dr. Aziz,5,7,hamidullah here is actually dead he passed away just as you rode up on your bike,does there happen to be such a thing as a hookah in that happier world of yours,Dr. Aziz; Hamidullah,M,intermediate,M,major
Dr. Aziz,Mahmoud Ali,7,9,does there happen to be such a thing as a hookah in that happier world of yours,well look at my own experience this morning,Hamidullah; Mahmoud Ali,M,major,M,intermediate
Mahmoud Ali,Dr. Aziz,19,21,no that is where mrs turton is so skilful when we poor blacks take bribes we perform what we are bribed to perform and the law discovers us in consequence the english take and do nothing i admire them,oh not yet hookah is so jolly now,Dr. Aziz; Hamidullah,M,intermediate,M,major
Dr. Aziz,Mahmoud Ali,21,23,oh not yet hookah is so jolly now,queen victoria was different,Hamidullah; Mahmoud Ali,M,major,M,intermediate
Mahmoud Ali,Dr. Aziz,23,25,queen victoria was different,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,Dr. Aziz; Hamidullah,M,intermediate,M,major
Dr. Aziz,Mahmoud Ali,25,27,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,so have i all ladies are far from alike,Hamidullah; Mahmoud Ali,M,major,M,intermediate
_unknowable,Hamidullah,28,30,she said in the most natural way she offered me a lozenge when the dust irritated my throat,come and see my wife a little then,Dr. Aziz; Hamidullah; Mahmoud Ali,F,intermediate,M,intermediate
Mahmoud Ali,Dr. Aziz,29,31,but of course all this is exceptional the exception does not prove the rule the average woman is like mrs turton and aziz you know what she is,once is enough,Dr. Aziz; Hamidullah,M,intermediate,M,major
Dr. Aziz,Hamidullah Begum,33,35,aunt they live most comfortably with my wife s mother where she was living when she died i can see them whenever i like they are such very very small children,what is to become of all our daughters if men refuse to marry they will marry beneath them or,Hamidullah; Hamidullah Begum,M,major,F,minor
Hamidullah,Dr. Aziz,34,36,and he sends them the whole of his salary and lives like a low grade clerk and tells no one the reason what more do you require him to do,perhaps but later,Dr. Aziz; Hamidullah Begum,M,intermediate,M,major
Hamidullah Begum,Hamidullah,35,37,what is to become of all our daughters if men refuse to marry they will marry beneath them or,you mustn t put off what you think right that is why india is in such a plight because we put off things,Dr. Aziz; Hamidullah,F,minor,M,intermediate
Mrs. Lesley,Dr. Aziz,47,49,ours take the gifts the gods provide anyhow,go i will pay you to morrow you are most welcome ladies,Dr. Aziz; Mrs. Callendar; The Servant,F,minor,M,major
_unknowable,Dr. Aziz,48,50,o tonga wallah club club why doesn t the fool go,saying nothing then i will write him a letter tell him i have called that is sufficient here is my card call me a tonga,Dr. Aziz; Mrs. Callendar; Mrs. Lesley; The Servant,F,intermediate,M,major
Dr. Aziz,The Servant,49,51,go i will pay you to morrow you are most welcome ladies,huzoor all are at the club,Mrs. Callendar; Mrs. Lesley; The Servant,M,major,M,minor
The Servant,Dr. Aziz,51,53,huzoor all are at the club,madam madam madam,Dr. Aziz,M,minor,M,major
Dr. Aziz,Mrs. Moore,107,109,then you are an oriental indians are not allowed into the chandrapore club even as guests,i want to see it too and i only wish we could apparently the turtons will arrange something for next tuesday,Mrs. Moore,M,major,F,major
Mrs. Moore,Adela Quested,113,115,later and later let me think we don t see the other side of the moon out here no,we aren t even seeing the other side of the world that s our complaint,Adela Quested,F,major,F,major
Cyril Fielding,Ronny Heaslop,120,122,try seeing indians,our schoolmaster government college,Adela Quested; Mr. Turton; Mrs. Callendar; Mrs. Lesley; Mrs. Moore; Mrs. Turton; Ronny Heaslop,M,major,M,major
_unknowable,Mrs. Lesley,121,123,who was that,as if one could avoid seeing them,Adela Quested; Mr. Turton; Mrs. Callendar; Mrs. Lesley; Mrs. Moore; Mrs. Turton; Ronny Heaslop,F,intermediate,F,minor
Ronny Heaslop,Adela Quested,122,124,our schoolmaster government college,i ve avoided excepting my own servant i ve scarcely spoken to an indian since landing,Adela Quested; Mr. Turton; Mrs. Callendar; Mrs. Lesley; Mrs. Moore; Mrs. Turton,M,major,F,major
_unknowable,Adela Quested,127,129,wanting to see indians how new that sounds natives why fancy,that occurs after so many meetings,Adela Quested; Mr. Turton; Mrs. Callendar; Mrs. Lesley; Mrs. Moore; Mrs. Turton; Ronny Heaslop,F,intermediate,F,major
The Lady Who Had Been A Nurse,Mrs. Callendar,130,132,what i mean is i was a nurse before my marriage and came across them a great deal so i know i really do know the truth about indians a most unsuitable position for any englishwoman i was a nurse in a native state one s only hope was to hold sternly aloof,why the kindest thing one can do to a native is to let him die,Adela Quested; Mr. Turton; Mrs. Callendar; Mrs. Lesley; Mrs. Moore; Mrs. Turton; Ronny Heaslop,F,minor,F,minor
Adela Quested,Mrs. Moore,131,133,even from one s patients,how if he went to heaven,Mr. Turton; Mrs. Callendar; Mrs. Lesley; Mrs. Moore; Mrs. Turton; Ronny Heaslop; The Lady Who Had Been A Nurse,F,major,F,major
Mrs. Moore,The Lady Who Had Been A Nurse,133,135,how if he went to heaven,as a matter of fact i have thought what you were saying about heaven and that is why i am against missionaries i am all for chaplains but all against missionaries let me explain,Adela Quested; Mr. Turton; Mrs. Callendar; Mrs. Lesley; Mrs. Turton; Ronny Heaslop; The Lady Who Had Been A Nurse,F,major,F,minor
Mrs. Callendar,Mr. Turton,134,136,he can go where he likes as long as he doesn t come near me they give me the creeps,do you really want to meet the aryan brother miss quested that can be easily fixed up i didn t realize he d amuse you you can practically see any type you like take your choice i know the government people and the landowners heaslop here can get hold of the barrister crew while if you want to specialize on education we can come down on fielding,Adela Quested; Mr. Turton; Mrs. Lesley; Mrs. Moore; Mrs. Turton; Ronny Heaslop; The Lady Who Had Been A Nurse,F,minor,M,intermediate
The Lady Who Had Been A Nurse,Adela Quested,135,137,as a matter of fact i have thought what you were saying about heaven and that is why i am against missionaries i am all for chaplains but all against missionaries let me explain,i m tired of seeing picturesque figures pass before me as a frieze it was wonderful when we landed but that superficial glamour soon goes i only want those indians whom you come across socially as your friends,Adela Quested; Mr. Turton; Mrs. Callendar; Mrs. Lesley; Mrs. Moore; Mrs. Turton; Ronny Heaslop,F,minor,F,major
Adela Quested,Mrs. Turton,137,139,i m tired of seeing picturesque figures pass before me as a frieze it was wonderful when we landed but that superficial glamour soon goes i only want those indians whom you come across socially as your friends,miss quested what a name,Mr. Turton; Mrs. Callendar; Mrs. Lesley; Mrs. Moore; Mrs. Turton; Ronny Heaslop; The Lady Who Had Been A Nurse,F,major,F,intermediate
Adela Quested,Mrs. Moore,144,146,why not ask the pleaders to the club,oh yes that s where i got to that s where i ve been,Mrs. Moore; Ronny Heaslop,F,major,F,major
Ronny Heaslop,Adela Quested,151,153,no really not in this country it s not done there s the danger from snakes for one thing they are apt to lie out in the evening,this sounds very romantic you meet a young man in a mosque and then never let me know,Adela Quested; Mrs. Moore,M,major,F,major
Adela Quested,Ronny Heaslop,155,157,was he nice,who was he,Mrs. Moore; Ronny Heaslop,F,major,M,major
Mrs. Moore,Adela Quested,162,164,he didn t come into the club he said he wasn t allowed to,a mohammedan how perfectly magnificent ronny isn t that like your mother while we talk about seeing the real india she goes and sees it and then forgets she s seen it,Adela Quested; Ronny Heaslop,F,major,F,major
Adela Quested,Mrs. Moore,164,166,a mohammedan how perfectly magnificent ronny isn t that like your mother while we talk about seeing the real india she goes and sees it and then forgets she s seen it,i think it was impudence but i don t know about a trick his nerves were all on edge i could tell from his voice as soon as i answered he altered,Mrs. Moore; Ronny Heaslop,F,major,F,major
Mrs. Moore,Adela Quested,166,168,i think it was impudence but i don t know about a trick his nerves were all on edge i could tell from his voice as soon as i answered he altered,now look here wouldn t you expect a mohammedan to answer if you asked him to take off his hat in church,Adela Quested; Ronny Heaslop,F,major,F,major
Adela Quested,Mrs. Moore,170,172,i know i don t and i want to what is the difference please,crocodiles down in it too how terrible what a terrible river what a wonderful river,Mrs. Moore; Ronny Heaslop,F,major,F,major
Ronny Heaslop,Mrs. Moore,171,173,there s your ganges it s not much of a dead body that gets down to chandrapore,aziz what a charming name,Adela Quested; Mrs. Moore,M,major,F,major
Mrs. Moore,Ronny Heaslop,172,174,crocodiles down in it too how terrible what a terrible river what a wonderful river,so you and he had a talk did you gather he was well disposed,Adela Quested; Ronny Heaslop,F,major,M,major
Mahmoud Ali,Ram Chand,200,202,we have not all your sweet nature nawab bahadur nor your learning,you will make yourself chip,Ram Chand; The Nawab Badahur,M,intermediate,M,minor
The Nawab Badahur,Mahmoud Ali,201,203,the lieutenant governor may be my very good friend but i give him no trouble and all is over but i can be a thorn in mr turton s flesh and if he asks me i accept the invitation i shall come in from dilkusha specially though i have to postpone other business,mr ram chand,Mahmoud Ali; Ram Chand,M,intermediate,M,intermediate
Ram Chand,The Nawab Badahur,204,206,mr mahmoud ali,i do not expect i shall make myself cheap i do not see why we should make ourselves cheap i do not see why we should the invitation is worded very graciously till tuesday then gentlemen all when i hope we may meet in the flower gardens of the club,Mahmoud Ali; The Nawab Badahur,M,minor,M,intermediate
Mr. Turton,Adela Quested,216,218,whom have we so far h m h m much as one expected we know why he s here i think over that contract and he wants to get the right side of me for mohurram and he s the astrologer who wants to dodge the municipal building regulations and he s that parsi and he s hullo there he goes smash into our hollyhocks pulled the left rein when he meant the right all as usual,this isn t a purdah party,Adela Quested; Mrs. Moore; Mrs. Turton; Ronny Heaslop,M,intermediate,F,major
Adela Quested,Mrs. Moore,218,220,this isn t a purdah party,do kindly tell us who these ladies are,Mrs. Moore; Mrs. Turton,F,major,F,major
Mrs. Moore,Adela Quested,220,222,do kindly tell us who these ladies are,please tell these ladies that i wish we could speak their language but we have only just come to their country,Adela Quested; Mrs. Turton,F,major,F,major
Adela Quested,Mrs. Turton,222,224,please tell these ladies that i wish we could speak their language but we have only just come to their country,why fancy she understands,Mrs. Moore; Mrs. Turton,F,major,F,intermediate
_unknowable,Adela Quested,225,227,eastbourne piccadilly high park corner,but now we can talk how delightful,Adela Quested; Mrs. Bhattacharya; Mrs. Moore; Mrs. Turton,F,intermediate,F,major
Adela Quested,Mrs. Turton,227,229,but now we can talk how delightful,they pass paris on the way no doubt,Mrs. Bhattacharya; Mrs. Moore; Mrs. Turton,F,major,F,intermediate
Mrs. Turton,Mrs. Moore,229,231,they pass paris on the way no doubt,i wonder whether you would allow us to call on you some day,Adela Quested; Mr. Bhattacharya; Mrs. Bhattacharya; Mrs. Moore,F,intermediate,F,major
Mr. Bhattacharya,Mrs. Bhattacharya,230,232,the shorter lady she is my wife she is mrs bhattacharya the taller lady she is my sister she is mrs das,when,Adela Quested; Mrs. Bhattacharya; Mrs. Moore; Mrs. Turton,M,minor,F,minor
Mrs. Moore,Adela Quested,237,239,we shall enjoy it greatly it would be a real pleasure what about the time,tell us which you would prefer we re quite strangers to your country we don t know when you have visitors,Adela Quested; Mrs. Bhattacharya; Mrs. Turton,F,major,F,major
Adela Quested,Mrs. Bhattacharya,243,245,but you ll be in calcutta,thursday,Mr. Bhattacharya; Mrs. Bhattacharya; Mrs. Moore; Mrs. Turton,F,major,F,minor
Mr. Bhattacharya,Mrs. Moore,244,246,no no we shall not we expect you thursday,you can t have done such a dreadful thing as to put off going for our sake,Adela Quested; Mrs. Bhattacharya; Mrs. Moore; Mrs. Turton,M,minor,F,major
Mrs. Bhattacharya,Mr. Bhattacharya,245,247,thursday,no of course not we are not such people,Adela Quested; Mr. Bhattacharya; Mrs. Moore; Mrs. Turton,F,minor,M,minor
Mr. Bhattacharya,Adela Quested,247,249,no of course not we are not such people,i ld like to come very much indeed and so would mrs moore i know,Adela Quested; Mrs. Bhattacharya; Mrs. Moore; Mrs. Turton,M,minor,F,major
Cyril Fielding,Adela Quested,260,262,i won t ask the city magistrate to bring you i know he ll be busy at that time,i should never get like that,Adela Quested,M,major,F,major
Miss Derek,Ronny Heaslop,263,265,if one couldn t see the laughable side of these people one ld be done for,does adela talk to you much i m so driven with work i don t see her as much as i hoped but i hope she finds things comfortable,Miss Derek; Mr. Mcbryde; Mrs. Mcbryde; Mrs. Moore; Ronny Heaslop,F,intermediate,M,major
