a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Cecil,Freddy,adverbs,3,2,1,0.5,0.3333333333333333,0.16666666666666669,,,M,intermediate
Cecil,Freddy,auxiliary_verbs,3,2,1,0.5,0.3333333333333333,0.16666666666666669,,,M,intermediate
Cecil,Freddy,conjunctions,3,2,1,0.5,0.3333333333333333,0.16666666666666669,,,M,intermediate
Cecil,Freddy,personal_pronouns,3,3,2,0.6666666666666666,0.6666666666666666,0.0,,,M,intermediate
Cecil,Freddy,prepositions,3,2,2,1.0,1.0,0.0,,,M,intermediate
Cecil,Lucy,adverbs,46,27,16,0.5925925925925926,0.5217391304347826,0.07085346215780997,,,,
Cecil,Lucy,articles,46,23,8,0.34782608695652173,0.43478260869565216,-0.08695652173913043,,,,
Cecil,Lucy,auxiliary_verbs,46,27,18,0.6666666666666666,0.5652173913043478,0.10144927536231885,,,,
Cecil,Lucy,conjunctions,46,23,13,0.5652173913043478,0.43478260869565216,0.13043478260869562,,,,
Cecil,Lucy,impersonal_pronouns,46,28,10,0.35714285714285715,0.43478260869565216,-0.07763975155279501,,,,
Cecil,Lucy,negations,46,17,5,0.29411764705882354,0.2608695652173913,0.03324808184143224,,,,
Cecil,Lucy,personal_pronouns,46,33,27,0.8181818181818182,0.7391304347826086,0.07905138339920958,,,,
Cecil,Lucy,prepositions,46,31,14,0.45161290322580644,0.5434782608695652,-0.09186535764375875,,,,
Cecil,Lucy,quantifiers,46,21,4,0.19047619047619047,0.2391304347826087,-0.04865424430641824,,,,
Cecil,Mr. Beebe,adverbs,19,9,5,0.5555555555555556,0.5263157894736842,0.0292397660818714,,,M,major
Cecil,Mr. Beebe,articles,19,9,5,0.5555555555555556,0.631578947368421,-0.07602339181286544,,,M,major
Cecil,Mr. Beebe,auxiliary_verbs,19,14,11,0.7857142857142857,0.7894736842105263,-0.003759398496240629,,,M,major
Cecil,Mr. Beebe,conjunctions,19,6,5,0.8333333333333334,0.631578947368421,0.20175438596491235,,,M,major
Cecil,Mr. Beebe,impersonal_pronouns,19,14,10,0.7142857142857143,0.7894736842105263,-0.07518796992481203,,,M,major
Cecil,Mr. Beebe,negations,19,8,4,0.5,0.47368421052631576,0.026315789473684237,,,M,major
Cecil,Mr. Beebe,personal_pronouns,19,15,14,0.9333333333333333,0.9473684210526315,-0.014035087719298178,,,M,major
Cecil,Mr. Beebe,prepositions,19,12,10,0.8333333333333334,0.7368421052631579,0.09649122807017552,,,M,major
Cecil,Mr. Beebe,quantifiers,19,5,2,0.4,0.42105263157894735,-0.021052631578947323,,,M,major
Cecil,Mrs. Honeychurch,adverbs,8,2,0,0.0,0.625,-0.625,,,F,major
Cecil,Mrs. Honeychurch,auxiliary_verbs,8,3,1,0.3333333333333333,0.625,-0.2916666666666667,,,F,major
Cecil,Mrs. Honeychurch,conjunctions,8,2,1,0.5,0.375,0.125,,,F,major
Cecil,Mrs. Honeychurch,impersonal_pronouns,8,2,2,1.0,0.5,0.5,,,F,major
Cecil,Mrs. Honeychurch,personal_pronouns,8,6,5,0.8333333333333334,0.875,-0.04166666666666663,,,F,major
Cecil,Mrs. Honeychurch,prepositions,8,3,2,0.6666666666666666,0.75,-0.08333333333333337,,,F,major
Cecil,Mrs. Vyse,adverbs,4,3,1,0.3333333333333333,0.5,-0.16666666666666669,,,F,minor
Cecil,Mrs. Vyse,auxiliary_verbs,4,3,3,1.0,0.75,0.25,,,F,minor
Cecil,Mrs. Vyse,impersonal_pronouns,4,2,2,1.0,0.5,0.5,,,F,minor
Cecil,Mrs. Vyse,personal_pronouns,4,2,2,1.0,1.0,0.0,,,F,minor
Cecil,Mrs. Vyse,quantifiers,4,2,2,1.0,1.0,0.0,,,F,minor
