a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Cecil,Freddy,5,3,11,0.1,0.09090909090909091,,,M,intermediate
Cecil,Lucy,9,46,230,0.0024511936895403753,-0.005293005671077486,,,,
Cecil,Mr. Beebe,9,19,92,-0.045077972709551634,-0.035469107551487404,,,M,major
Cecil,Mrs. Honeychurch,6,8,18,-0.06944444444444443,-0.020833333333333322,,,F,major
Cecil,Mrs. Vyse,5,4,12,-0.05000000000000001,-0.06250000000000001,,,F,minor
Freddy,Cecil,2,3,4,0.0,0.0,M,intermediate,,
Freddy,George Emerson,5,9,17,-0.00444444444444444,0.01960784313725491,M,intermediate,M,intermediate
Freddy,Lucy,8,19,67,-0.06995051731893837,-0.050274941084053414,M,intermediate,,
Freddy,Miss Bartlett,5,2,10,0.0,0.0,M,intermediate,F,major
Freddy,Mr. Beebe,9,21,78,0.04640236306902975,0.039072039072039086,M,intermediate,M,major
Freddy,Mr. Emerson,3,2,6,0.0,0.0,M,intermediate,M,intermediate
Freddy,Mr. Vyse,5,3,10,1.1102230246251566e-17,1.1102230246251566e-17,M,intermediate,M,intermediate
Freddy,Mrs. Honeychurch,9,31,147,0.0265155466244051,0.03203862190037306,M,intermediate,F,major
George Emerson,Lucy,9,55,211,-0.015657798991132343,-0.01973287376130981,M,intermediate,,
George Emerson,Miss Bartlett,8,3,21,0.08333333333333334,0.0634920634920635,M,intermediate,F,major
George Emerson,Mr. Beebe,5,7,13,0.14285714285714288,0.14285714285714285,M,intermediate,M,major
George Emerson,Mr. Emerson,7,5,24,0.07142857142857141,0.05833333333333332,M,intermediate,M,intermediate
George Emerson,Mr. Vyse,8,4,20,-0.16666666666666669,-0.1375,M,intermediate,M,intermediate
George Emerson,Mrs. Honeychurch,9,6,24,0.03703703703703704,0.04166666666666668,M,intermediate,F,major
Lucy,Cecil,9,45,177,-0.04399958480754893,-0.03414940364092905,,,,
Lucy,Freddy,9,17,60,-0.057862943157060816,-0.014705882352941195,,,M,intermediate
Lucy,George Emerson,9,52,240,-0.0008674231974984666,0.008012820512820519,,,M,intermediate
Lucy,Miss Bartlett,9,91,438,0.005326215541232822,0.002634351949420423,,,F,major
Lucy,Miss Catherine Alan,1,2,2,0.0,0.0,,,F,minor
Lucy,Miss Lavish,9,13,58,-0.005596255596255613,-0.005305039787798428,,,F,intermediate
Lucy,Mr. Beebe,9,44,186,0.028176933527810713,0.02553763440860214,,,M,major
Lucy,Mr. Emerson,9,37,162,-0.05035329165763951,-0.04504504504504507,,,M,intermediate
Lucy,Mr. Vyse,9,30,178,-0.015036438885543771,-0.01104868913857681,,,M,intermediate
Lucy,Mrs. Honeychurch,9,49,212,0.04254370329938618,0.03812090874085481,,,F,major
Lucy,Mrs. Vyse,1,2,2,0.0,0.0,,,F,minor
Lucy,Powell,2,3,5,0.16666666666666669,0.13333333333333336,,,M,minor
Lucy,Rev. Cuthbert Eager,7,8,22,0.07142857142857142,0.07954545454545454,,,M,intermediate
Lucy,Sir Harry Otway,6,5,18,0.11111111111111109,0.08888888888888886,,,M,minor
