a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Cecil,Lucy,4,4,14,0.0625,0.03571428571428571,,,,
Cecil,Mrs. Honeychurch,3,7,7,0.126984126984127,0.12244897959183676,,,F,major
Cecil,Sir Harry Otway,4,3,9,-0.041666666666666644,-0.037037037037037014,,,M,minor
Freddy,Cecil,2,3,4,0.0,0.0,M,intermediate,,
Freddy,Lucy,9,9,46,-0.02971781305114636,-0.028985507246376784,M,intermediate,,
Freddy,Mr. Beebe,8,8,29,0.05520833333333333,0.030172413793103453,M,intermediate,M,major
Freddy,Mrs. Honeychurch,6,5,15,0.11666666666666664,0.13333333333333328,M,intermediate,F,major
George Emerson,Lucy,8,11,49,0.04665404040404042,0.03525046382189241,M,intermediate,,
George Emerson,Mr. Emerson,9,6,27,-0.01296296296296295,0.012345679012345701,M,intermediate,M,intermediate
George Emerson,Mr. Vyse,4,4,11,0.10416666666666666,0.0909090909090909,M,intermediate,M,intermediate
Lucy,Cecil,5,6,14,0.1,0.05952380952380953,,,,
Lucy,Freddy,8,6,24,-0.056249999999999994,-0.041666666666666664,,,M,intermediate
Lucy,George Emerson,8,10,39,-0.1212797619047619,-0.10512820512820512,,,M,intermediate
Lucy,Miss Bartlett,9,13,77,-0.0045695045695045905,0.0019980019980019785,,,F,major
Lucy,Miss Catherine Alan,4,3,9,0.041666666666666685,0.037037037037037056,,,F,minor
Lucy,Mr. Beebe,7,5,27,0.02619047619047616,0.022222222222222192,,,M,major
Lucy,Mr. Emerson,2,3,6,0.0,0.0,,,M,intermediate
Lucy,Mr. Vyse,6,5,15,0.14444444444444443,0.13333333333333333,,,M,intermediate
Lucy,Mrs. Honeychurch,9,11,50,0.07457912457912458,0.0618181818181818,,,F,major
Lucy,Rev. Cuthbert Eager,1,2,2,0.0,0.0,,,M,intermediate
Minnie Beebe,Lucy,2,2,4,0.0,0.0,F,minor,,
Miss Bartlett,Lucy,9,12,55,-0.06253006253006253,-0.046969696969696974,F,major,,
Miss Bartlett,Mr. Beebe,7,9,31,0.030952380952380985,0.017921146953405062,F,major,M,major
Miss Bartlett,Mrs. Honeychurch,3,2,6,0.0,0.0,F,major,F,major
Miss Bartlett,Rev. Cuthbert Eager,3,2,6,0.0,0.0,F,major,M,intermediate
Miss Catherine Alan,Mr. Beebe,9,4,25,0.08333333333333331,0.06999999999999998,F,minor,M,major
Miss Lavish,Lucy,3,3,8,-0.1111111111111111,-0.08333333333333333,F,intermediate,,
Miss Lavish,Rev. Cuthbert Eager,7,3,17,-0.07142857142857141,-0.05882352941176469,F,intermediate,M,intermediate
Mr. Beebe,Freddy,9,10,62,-0.050925925925925916,-0.045161290322580636,M,major,M,intermediate
Mr. Beebe,George Emerson,6,3,13,0.0,0.0,M,major,M,intermediate
Mr. Beebe,Lucy,9,12,63,0.0548260381593715,0.06084656084656086,M,major,,
Mr. Beebe,Miss Bartlett,9,9,45,0.06746031746031747,0.05185185185185184,M,major,F,major
Mr. Beebe,Mr. Emerson,1,2,2,0.0,0.0,M,major,M,intermediate
Mr. Emerson,George Emerson,8,5,29,0.19166666666666665,0.14482758620689654,M,intermediate,M,intermediate
Mr. Emerson,Lucy,9,8,40,0.07394179894179892,0.046874999999999986,M,intermediate,,
Mr. Emerson,Mr. Beebe,9,5,29,-0.003703703703703715,0.013793103448275851,M,intermediate,M,major
Mr. Vyse,George Emerson,9,5,25,0.09444444444444444,0.055999999999999994,M,intermediate,M,intermediate
Mr. Vyse,Lucy,5,4,11,-0.11666666666666667,-0.09090909090909091,M,intermediate,,
Mrs. Honeychurch,Cecil,6,4,17,-0.02777777777777778,-0.029411764705882353,F,major,,
Mrs. Honeychurch,Freddy,5,5,16,0.059999999999999984,0.04999999999999999,F,major,M,intermediate
Mrs. Honeychurch,George Emerson,1,2,2,0.0,0.0,F,major,M,intermediate
Mrs. Honeychurch,Lucy,9,12,65,-0.01300705467372134,-0.023076923076923085,F,major,,
Mrs. Honeychurch,Miss Bartlett,2,2,4,0.0,0.0,F,major,F,major
Mrs. Honeychurch,Mr. Beebe,1,3,2,0.16666666666666669,0.16666666666666669,F,major,M,major
Rev. Cuthbert Eager,Miss Bartlett,6,4,12,0.125,0.125,M,intermediate,F,major
Rev. Cuthbert Eager,Miss Lavish,1,3,2,-0.16666666666666663,-0.16666666666666663,M,intermediate,F,intermediate
Sir Harry Otway,Cecil,1,2,2,0.0,0.0,M,minor,,
