a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Cecil,Freddy,2,3,6,0.0,0.0,,,M,intermediate
Cecil,Lucy,9,42,187,-0.03602501665797161,-0.028520499108734415,,,,
Cecil,Mr. Beebe,8,18,74,0.11351495726495726,0.09609609609609611,,,M,major
Cecil,Mrs. Honeychurch,3,7,9,-0.09523809523809525,-0.09523809523809526,,,F,major
Cecil,Mrs. Vyse,6,4,23,0.013888888888888886,0.010869565217391302,,,F,minor
Freddy,George Emerson,8,8,40,-0.018898809523809526,-0.01875000000000001,M,intermediate,M,intermediate
Freddy,Lucy,8,18,89,-0.016979548229548235,-0.02309612983770288,M,intermediate,,
Freddy,Mr. Beebe,9,20,115,-0.029918719624602005,-0.023043478260869592,M,intermediate,M,major
Freddy,Mrs. Honeychurch,9,31,164,-0.039111972030289335,-0.03501180173092054,M,intermediate,F,major
George Emerson,Freddy,3,3,9,0.0,0.0,M,intermediate,M,intermediate
George Emerson,Lucy,9,52,246,0.029295216372266192,0.028455284552845513,M,intermediate,,
George Emerson,Mr. Beebe,7,6,31,-0.05714285714285713,-0.04838709677419354,M,intermediate,M,major
George Emerson,Mr. Emerson,2,5,7,0.03333333333333327,0.057142857142857086,M,intermediate,M,intermediate
George Emerson,Mr. Vyse,4,4,13,-0.020833333333333343,-0.01923076923076924,M,intermediate,M,intermediate
George Emerson,Mrs. Honeychurch,3,5,13,0.08333333333333331,0.0769230769230769,M,intermediate,F,major
Lucy,Cecil,9,40,204,-0.04254064648801489,-0.04093137254901958,,,,
Lucy,Freddy,8,17,65,-0.024195718497189087,-0.029864253393665156,,,M,intermediate
Lucy,George Emerson,9,48,213,0.01766183851780909,0.02044209702660407,,,M,intermediate
Lucy,Miss Bartlett,9,85,396,0.004445418237206721,0.006417112299465242,,,F,major
Lucy,Miss Lavish,8,13,52,-0.03907203907203911,-0.00739644970414205,,,F,intermediate
Lucy,Mr. Beebe,9,42,205,0.01812309596920581,0.02415795586527293,,,M,major
Lucy,Mr. Emerson,9,35,174,0.016010889695100214,0.00853858784893266,,,M,intermediate
Lucy,Mr. Vyse,9,29,136,0.0069772491425635725,0.002789046653144046,,,M,intermediate
Lucy,Mrs. Honeychurch,9,45,224,0.03672355902614613,0.03531746031746032,,,F,major
Lucy,Rev. Cuthbert Eager,8,6,31,-0.00416666666666668,-0.005376344086021511,,,M,intermediate
Lucy,Sir Harry Otway,2,3,6,0.0,0.0,,,M,minor
Miss Bartlett,Freddy,3,3,9,0.0,0.0,F,major,M,intermediate
Miss Bartlett,Lucy,9,88,468,0.01110458708692306,0.00976107226107226,F,major,,
Miss Bartlett,Miss Lavish,6,4,22,-0.013888888888888895,-0.01136363636363637,F,major,F,intermediate
Miss Bartlett,Mr. Beebe,9,16,79,0.0046567629900963374,0.0023734177215190026,F,major,M,major
Miss Bartlett,Rev. Cuthbert Eager,5,11,29,-0.077987012987013,-0.05642633228840126,F,major,M,intermediate
Miss Catherine Alan,Lucy,4,4,14,-0.08333333333333334,-0.07142857142857142,F,minor,,
Miss Lavish,Lucy,6,11,35,0.04356661856661855,0.031168831168831148,F,intermediate,,
Miss Lavish,Miss Bartlett,8,9,39,-0.08799603174603174,-0.07692307692307693,F,intermediate,F,major
Miss Lavish,Rev. Cuthbert Eager,1,3,3,0.0,0.0,F,intermediate,M,intermediate
Mr. Beebe,Cecil,9,19,84,0.010792472634577912,0.015037593984962419,M,major,,
Mr. Beebe,Freddy,9,21,90,-0.049841824841824825,-0.028571428571428553,M,major,M,intermediate
Mr. Beebe,George Emerson,4,5,14,-1.3877787807814457e-17,-1.586032892321652e-17,M,major,M,intermediate
Mr. Beebe,Lucy,9,34,174,-0.058976137031692605,-0.052400270453008796,M,major,,
Mr. Beebe,Miss Bartlett,9,18,75,-0.017076750410083736,0.004444444444444456,M,major,F,major
Mr. Beebe,Miss Catherine Alan,1,3,3,0.0,0.0,M,major,F,minor
Mr. Beebe,Mr. Emerson,7,11,43,-0.027252112966398675,-0.031712473572938674,M,major,M,intermediate
Mr. Beebe,Mrs. Honeychurch,9,8,36,0.014814814814814824,0.0034722222222222346,M,major,F,major
Mr. Emerson,Freddy,8,3,24,0.0,0.0,M,intermediate,M,intermediate
Mr. Emerson,George Emerson,6,9,29,-0.06666666666666667,-0.07279693486590039,M,intermediate,M,intermediate
Mr. Emerson,Lucy,9,36,192,-0.003743047076380432,0.002459490740740717,M,intermediate,,
Mr. Emerson,Miss Bartlett,2,3,6,0.0,0.0,M,intermediate,F,major
Mr. Emerson,Mr. Beebe,9,6,43,9.25185853854297e-18,-0.0038759689922480533,M,intermediate,M,major
Mr. Vyse,Lucy,9,30,176,-0.021924072659366776,-0.023106060606060606,M,intermediate,,
Mrs. Honeychurch,Cecil,5,14,32,0.09095238095238094,0.060267857142857116,F,major,,
Mrs. Honeychurch,Freddy,9,29,155,-0.019449966915630376,-0.010678531701890995,F,major,M,intermediate
