family,gender,mean_conv
adverbs,F,-0.005381192881192894
adverbs,M,0.007256235827664393
articles,F,0.016835016835016797
articles,M,0.08164682539682538
auxiliary_verbs,F,0.030603655603655595
auxiliary_verbs,M,0.05800865800865802
conjunctions,F,-0.021464646464646447
conjunctions,M,0.022698412698412683
impersonal_pronouns,F,0.13602693602693602
impersonal_pronouns,M,0.033234126984126984
negations,F,0.08901515151515149
negations,M,-0.030158730158730156
personal_pronouns,F,0.007215007215007214
personal_pronouns,M,0.011734693877551019
prepositions,F,-0.008080808080808088
prepositions,M,0.044200244200244196
quantifiers,F,0.052272727272727304
quantifiers,M,-0.030725623582766447
