family,gender,mean_conv
adverbs,F,-0.010384414813861287
adverbs,M,-0.027239207980722272
articles,F,-0.054978256168286145
articles,M,-0.05616701147454918
auxiliary_verbs,F,-0.05013660994258024
auxiliary_verbs,M,-0.011200656939296704
conjunctions,F,-0.045111949184879305
conjunctions,M,0.03343368511891536
impersonal_pronouns,F,-0.035271379511964816
impersonal_pronouns,M,-0.009370475765786864
negations,F,-0.0873266484473381
negations,M,-0.10132059261466032
personal_pronouns,F,-0.01427150834335941
personal_pronouns,M,-0.0008151404722881023
prepositions,F,-0.009145121321845464
prepositions,M,-0.0278393528613035
quantifiers,F,0.018854030707478982
quantifiers,M,0.011924079486248669
