family,gender,mean_conv
adverbs,F,-0.015637563769866778
adverbs,M,0.004337439994594703
articles,F,0.03393081503850004
articles,M,0.03041030221691051
auxiliary_verbs,F,0.017059806759759318
auxiliary_verbs,M,0.005005262142804796
conjunctions,F,0.0086085023846187
conjunctions,M,-0.05453035313262707
impersonal_pronouns,F,0.011475118282518671
impersonal_pronouns,M,0.015997901071569717
negations,F,-0.017889539829767532
negations,M,-0.03034274615502718
personal_pronouns,F,0.010620064646392917
personal_pronouns,M,0.0001923712426058865
prepositions,F,0.018799820727850015
prepositions,M,0.015245478386976504
quantifiers,F,0.05148791133492272
quantifiers,M,0.031020195786296192
