family,gender,mean_conv
adverbs,F,0.010606060606060582
adverbs,M,-0.017817460317460315
articles,F,-0.0855218855218855
articles,M,-0.04270833333333335
auxiliary_verbs,F,-0.014747474747474777
auxiliary_verbs,M,0.03381519274376417
conjunctions,F,0.13763828763828764
conjunctions,M,0.06934523809523808
impersonal_pronouns,F,0.10549242424242423
impersonal_pronouns,M,-0.012235449735449747
negations,F,0.07196969696969699
negations,M,0.018518518518518517
personal_pronouns,F,0.004058441558441539
personal_pronouns,M,-0.006150793650793647
prepositions,F,-0.04242424242424244
prepositions,M,-0.03660714285714287
quantifiers,F,0.21144781144781147
quantifiers,M,0.022222222222222213
