family,gender,mean_conv
adverbs,F,-0.03022604987292639
adverbs,M,-0.011737796049375254
articles,F,-0.08080412629748494
articles,M,-0.058824399273816115
auxiliary_verbs,F,-0.018290391659428362
auxiliary_verbs,M,-0.015952232098773677
conjunctions,F,0.005376334635547641
conjunctions,M,-0.009775414799368585
impersonal_pronouns,F,0.03183218585196013
impersonal_pronouns,M,-0.009225332388750685
negations,F,-0.13122522521637003
negations,M,-0.025237675155759094
personal_pronouns,F,0.016741139904530848
personal_pronouns,M,-0.008172378454759587
prepositions,F,0.013134445124077064
prepositions,M,-0.03660958512055692
quantifiers,F,-0.022305178448944425
quantifiers,M,0.053677517368934044
