family,importance,mean_conv
adverbs,intermediate,0.01071220204107866
adverbs,major,-0.00039970460533411434
adverbs,minor,-0.10476190476190475
articles,intermediate,0.007921074314266273
articles,major,0.07526320388441735
articles,minor,0.1625
auxiliary_verbs,intermediate,-0.0062278025413449335
auxiliary_verbs,major,0.0012450604569597835
auxiliary_verbs,minor,0.029166666666666667
conjunctions,intermediate,-0.0325238401429373
conjunctions,major,0.04953149246390681
conjunctions,minor,-0.013333333333333341
impersonal_pronouns,intermediate,0.007386946362365276
impersonal_pronouns,major,0.034648547472603965
impersonal_pronouns,minor,0.21250000000000002
negations,intermediate,0.018992812611941082
negations,major,0.032538962745527554
negations,minor,0.0
personal_pronouns,intermediate,-0.01011280055723892
personal_pronouns,major,0.014952283520958187
personal_pronouns,minor,0.03148148148148148
prepositions,intermediate,-0.008725327413625226
prepositions,major,0.037917011386345
prepositions,minor,-0.0023809523809523885
quantifiers,intermediate,0.020177437392495317
quantifiers,major,-0.014964899322574157
quantifiers,minor,-0.08333333333333333
