family,importance,mean_conv
adverbs,intermediate,-0.04189907151317735
adverbs,major,0.028678162617731887
adverbs,minor,0.08571428571428572
articles,intermediate,0.009932313592586294
articles,major,0.0034764136765745184
articles,minor,-0.04583333333333332
auxiliary_verbs,intermediate,-0.01867160873515113
auxiliary_verbs,major,0.010979731582935255
auxiliary_verbs,minor,-0.03333333333333333
conjunctions,intermediate,0.010086267141083035
conjunctions,major,-0.00945361537338468
conjunctions,minor,-0.013333333333333341
impersonal_pronouns,intermediate,0.0603735446864922
impersonal_pronouns,major,0.02283902949731779
impersonal_pronouns,minor,0.21250000000000002
negations,intermediate,0.02463254325167172
negations,major,0.08120264474254288
negations,minor,0.0
personal_pronouns,intermediate,0.006562191117752756
personal_pronouns,major,-0.010299471798332594
personal_pronouns,minor,0.03148148148148148
prepositions,intermediate,-0.0164770782956031
prepositions,major,-0.00995016290128384
prepositions,minor,-0.0023809523809523885
quantifiers,intermediate,-0.005020391739157343
quantifiers,major,0.041172727352809954
quantifiers,minor,0.08333333333333333
