family,importance,mean_conv
adverbs,intermediate,5.490869946185176e-05
adverbs,major,0.004900408894566488
adverbs,minor,-0.08333333333333334
articles,intermediate,0.007483570878918232
articles,major,0.057681892568040564
auxiliary_verbs,intermediate,0.013172050575856015
auxiliary_verbs,major,0.012388113649182603
auxiliary_verbs,minor,-0.020833333333333343
conjunctions,intermediate,-0.019509830975031284
conjunctions,major,-0.04432981323599925
conjunctions,minor,0.0
impersonal_pronouns,intermediate,-0.006347232117176931
impersonal_pronouns,major,0.03511247512527991
negations,intermediate,-0.04480101344452257
negations,major,-0.0032084879886903894
personal_pronouns,intermediate,0.011546034928151748
personal_pronouns,major,-0.00414238627810984
personal_pronouns,minor,0.0
prepositions,intermediate,0.0049825568179583035
prepositions,major,0.03112588395206286
prepositions,minor,0.0
quantifiers,intermediate,0.02385415604228991
quantifiers,major,0.05178231238732052
