family,importance,mean_conv
adverbs,intermediate,0.027045924656218773
adverbs,major,-0.03186632630825959
adverbs,minor,-0.14666666666666667
articles,intermediate,0.02405181307119657
articles,major,0.026356247141117513
articles,minor,-0.08888888888888889
auxiliary_verbs,intermediate,0.016490965269737656
auxiliary_verbs,major,-0.013951523813694872
auxiliary_verbs,minor,-0.01944444444444444
conjunctions,intermediate,0.011070564546500376
conjunctions,major,0.02335591933962268
conjunctions,minor,-0.10000000000000002
impersonal_pronouns,intermediate,-0.041255094574422314
impersonal_pronouns,major,0.13527073340689988
impersonal_pronouns,minor,0.23333333333333334
negations,intermediate,0.05255094470780746
negations,major,-0.002262025853983853
negations,minor,0.0
personal_pronouns,intermediate,0.0064826906459373316
personal_pronouns,major,0.007391553317284845
personal_pronouns,minor,0.03333333333333334
prepositions,intermediate,-0.007171855876631463
prepositions,major,-0.007692016469040111
prepositions,minor,-0.07500000000000001
quantifiers,intermediate,0.020115468350762465
quantifiers,major,-0.0006795916707674308
quantifiers,minor,0.0
