a_category,b_category,mean_weight,count
intermediate,intermediate,0.0017775443510737652,14
intermediate,major,0.009205078997806246,11
intermediate,none,-0.011974584615696142,7
major,intermediate,0.032518083904822456,11
major,major,-0.0019625479000555043,6
major,minor,0.04319923371647509,4
major,none,0.0120757129730181,6
minor,major,-0.009259259259259254,3
minor,none,0.024526515151515143,6
none,intermediate,0.014623244234714925,7
none,major,0.00199809084281133,5
none,minor,0.03194444444444444,5
none,none,-0.019721204656003268,2
