a_category,b_category,mean_weight,count
intermediate,intermediate,0.0017775443510737508,14
intermediate,major,0.009205078997806246,11
intermediate,,-0.011974584615696171,7
major,intermediate,0.03251808390482243,11
major,major,-0.0019625479000554996,6
major,minor,0.04319923371647508,4
major,,0.012075712973018099,6
minor,major,-0.009259259259259267,3
minor,,0.024526515151515136,6
,intermediate,0.014623244234714944,7
,major,0.001998090842811321,5
,minor,0.03194444444444442,5
,,-0.0197212046560032,2
