character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
George Emerson,6,5,0.2831206056815811,0.1628165374677,0.0173992673992674,0.1043956043956044,M,intermediate
Cecil,5,4,0.25846408416830946,0.0654244605179923,0.13736263736263737,0.13736263736263737,,
Mr. Beebe,8,7,0.24771195841597332,0.2709238489655829,0.11007326007326008,0.2967032967032967,M,major
Mrs. Honeychurch,7,5,0.1911694824368862,0.25947229263114513,0.029945054945054943,0.3131868131868132,F,major
Freddy,4,6,0.17388246172592542,0.1291828853830901,0.007783882783882784,0.03296703296703297,M,intermediate
Miss Bartlett,5,7,0.1543221797582261,0.146373346735519,0.039560439560439566,0.19780219780219782,F,major
Lucy,12,12,0.1516615237299075,0.32038672802483814,0.513919413919414,0.4175824175824176,,
Rev. Cuthbert Eager,3,3,0.10212418300653581,0.1007130124777183,0.0,0.09890109890109891,M,intermediate
Mr. Emerson,5,3,0.08267199247021391,0.1107826384142173,0.0010989010989010991,0.038461538461538464,M,intermediate
Miss Catherine Alan,1,1,0.046875,0.0,0.0,0.0,F,minor
Sir Harry Otway,1,2,0.0416666666666666,0.0,0.0,0.0,M,minor
Miss Lavish,3,3,0.0303663414774525,0.0437665782493368,0.0,0.0,F,intermediate
Mr. Vyse,1,2,0.0144032921810699,0.0435974428516079,0.0,0.0,M,intermediate
Mrs. Vyse,1,1,0.0,0.125,0.0,0.0,F,minor
Powell,0,1,0.0,0.0,0.0,0.0,M,minor
