a_speaker,b_speaker,w_ab,w_ba
Cecil,Lucy,0.0033534540576794,-0.0158132530120481
Cecil,Mr. Beebe,-0.0132275132275132,-0.0166441745389113
Cecil,Mrs. Honeychurch,0.1168831168831169,0.0329670329670329
Cecil,Mrs. Vyse,-0.125,0.0
Freddy,Lucy,-0.0442561205273069,-0.0147058823529411
Freddy,Mr. Beebe,0.0559210526315789,-0.0873834069710358
Freddy,Mrs. Honeychurch,0.032038621900373,0.0270935960591132
George Emerson,Lucy,-0.0257973733583489,0.0072222222222222
George Emerson,Mr. Beebe,0.1111111111111111,0.0199999999999999
George Emerson,Mr. Emerson,0.0545454545454545,0.0439276485788113
George Emerson,Mrs. Honeychurch,0.0666666666666666,-0.05
Lucy,Cecil,-0.0158132530120481,0.0033534540576794
Lucy,Freddy,-0.0147058823529411,-0.0442561205273069
Lucy,George Emerson,0.0072222222222222,-0.0257973733583489
Lucy,Miss Bartlett,0.0099273275743864,0.0104166666666666
Lucy,Miss Lavish,-0.0053050397877984,0.0097902097902097
Lucy,Mr. Beebe,0.0131848438300051,0.0113636363636363
Lucy,Mr. Emerson,-0.0302631578947368,0.0317998994469582
Lucy,Mr. Vyse,-0.0185974428516079,0.0144032921810699
Lucy,Mrs. Honeychurch,0.0268384326355341,0.0251088534107401
Lucy,Rev. Cuthbert Eager,0.0098039215686274,-0.0555555555555555
Lucy,Sir Harry Otway,0.0,0.0416666666666666
Miss Bartlett,Lucy,0.0104166666666666,0.0099273275743864
Miss Bartlett,Miss Lavish,0.0384615384615384,-0.0205761316872428
Miss Bartlett,Mr. Beebe,0.0145348837209302,0.0693012600229095
Miss Bartlett,Rev. Cuthbert Eager,0.0909090909090909,-0.0465686274509803
Miss Lavish,Lucy,0.0097902097902097,-0.0053050397877984
Miss Lavish,Miss Bartlett,-0.0205761316872428,0.0384615384615384
Miss Lavish,Rev. Cuthbert Eager,0.0,0.0
Mr. Beebe,Cecil,-0.0166441745389113,-0.0132275132275132
Mr. Beebe,Freddy,-0.0873834069710358,0.0559210526315789
Mr. Beebe,George Emerson,0.0199999999999999,0.1111111111111111
Mr. Beebe,Lucy,0.0113636363636363,0.0131848438300051
Mr. Beebe,Miss Bartlett,0.0693012600229095,0.0145348837209302
Mr. Beebe,Mr. Emerson,-0.025974025974026,0.0069444444444444
Mr. Beebe,Mrs. Honeychurch,0.0170454545454545,-0.056
Mr. Emerson,George Emerson,0.0439276485788113,0.0545454545454545
Mr. Emerson,Lucy,0.0317998994469582,-0.0302631578947368
Mr. Emerson,Mr. Beebe,0.0069444444444444,-0.025974025974026
Mr. Vyse,Lucy,0.0144032921810699,-0.0185974428516079
Mrs. Honeychurch,Cecil,0.0329670329670329,0.1168831168831169
Mrs. Honeychurch,Freddy,0.0270935960591132,0.032038621900373
Mrs. Honeychurch,George Emerson,-0.05,0.0666666666666666
Mrs. Honeychurch,Lucy,0.0251088534107401,0.0268384326355341
Mrs. Honeychurch,Mr. Beebe,-0.056,0.0170454545454545
Mrs. Vyse,Cecil,0.0,-0.125
Rev. Cuthbert Eager,Lucy,-0.0555555555555555,0.0098039215686274
Rev. Cuthbert Eager,Miss Bartlett,-0.0465686274509803,0.0909090909090909
Rev. Cuthbert Eager,Miss Lavish,0.0,0.0
Sir Harry Otway,Lucy,0.0416666666666666,0.0
