pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Cecil→Lucy,-0.0032206119162641,0.0,-0.0837359098228663,0.0,0.1366459627329192,0.0920716112531969,-0.0421607378129116,-0.1241234221598877,0.0465838509316769
Cecil→Mr. Beebe,,,-0.075187969924812,,-0.0037593984962406,,-0.0140350877192981,0.0131578947368421,
Freddy→Lucy,,,,,,,-0.068825910931174,0.117408906882591,
Freddy→Mr. Beebe,,,-0.1465201465201464,,,,-0.0285714285714285,0.0649350649350649,
Freddy→Mrs. Honeychurch,0.0797962648556875,-0.0860215053763441,0.1081593927893738,0.1088709677419355,-0.0201612903225806,-0.0498533724340176,0.0134408602150537,0.0225806451612903,0.0618279569892473
George Emerson→Lucy,-0.0053872053872053,0.0285714285714285,-0.0242424242424242,-0.0484848484848485,-0.0314685314685314,0.0606060606060606,0.0038961038961038,-0.0835016835016835,-0.0409090909090908
Lucy→Cecil,-0.0570048309178744,-0.0183006535947712,0.0,-0.0070175438596491,-0.1040935672514619,-0.1737373737373737,0.0086021505376344,-0.0166666666666666,-0.0277777777777777
Lucy→Freddy,,,,,,,0.1390374331550802,,
Lucy→George Emerson,0.0615384615384615,0.1463210702341137,-0.0405982905982905,-0.0594405594405594,-0.0407692307692307,-0.1064102564102564,0.0295169946332737,0.0377492877492877,-0.0357142857142857
Lucy→Miss Bartlett,-0.0551448551448552,-0.0005360493165371,0.0134310134310133,-0.0043498168498168,0.024466099937798,-0.0659340659340659,0.0116450713465638,-0.036699149906697,0.1610576923076923
Lucy→Miss Lavish,-0.0153846153846154,,,,,,,,
Lucy→Mr. Beebe,0.0087412587412586,0.0454545454545454,0.0,0.0081818181818181,0.0933014354066985,,0.0045454545454546,0.0921052631578946,
Lucy→Mr. Emerson,0.0306306306306305,-0.1216216216216216,-0.053014553014553,0.0212355212355213,-0.0486486486486487,-0.2306306306306306,0.0279922779922779,-0.0611045828437133,
Lucy→Mr. Vyse,0.0363636363636363,0.0039215686274509,-0.027536231884058,-0.0291666666666666,0.0083333333333333,-0.0666666666666666,-0.0083333333333334,-0.0230769230769231,-0.0291666666666666
Lucy→Mrs. Honeychurch,0.0596546310832024,0.1419294990723562,-0.0557299843014129,0.0396158463385354,-0.0346051464063886,0.0884353741496598,0.0547798066595058,-0.0030234315948601,0.0918367346938775
Miss Bartlett→Lucy,-0.0307219662058372,-0.0415770609318996,0.0133333333333334,-0.0267673301304049,0.0419963481436396,0.0059737156511349,0.0212224108658743,-0.0552755376344086,0.0677419354838709
Miss Bartlett→Mr. Beebe,0.0964912280701755,0.1096491228070176,-0.069078947368421,-0.0095693779904305,,,-0.056140350877193,0.0491228070175437,
Miss Lavish→Lucy,,-0.0454545454545454,,,,,-0.0363636363636363,,
Miss Lavish→Miss Bartlett,,,,,,,-0.0181818181818181,,
Mr. Beebe→Cecil,-0.15,0.0499999999999999,-0.0124999999999999,0.0333333333333333,-0.0749999999999999,,-0.0131578947368421,0.0666666666666666,
Mr. Beebe→Freddy,-0.0649350649350649,-0.1991341991341991,-0.0571428571428571,0.019047619047619,-0.1082251082251082,,-0.0672268907563025,-0.1071428571428571,
Mr. Beebe→Lucy,0.0096618357487922,0.0222222222222222,0.047008547008547,0.1041666666666666,0.0595238095238094,,0.0166666666666667,-0.037037037037037,-0.0128205128205128
Mr. Beebe→Miss Bartlett,-0.0071428571428571,,0.0999999999999999,0.0999999999999999,,,0.0666666666666666,0.0785714285714286,
Mr. Emerson→Lucy,0.0789473684210526,-0.0983981693363844,0.0167464114832536,0.1270022883295194,0.0093984962406015,0.1649122807017544,-0.0015948963317384,-0.0042444821731749,0.0247678018575851
Mr. Vyse→Lucy,0.0186757215619693,-0.0172043010752688,0.0080645161290322,0.1161290322580644,-0.0373514431239389,0.075268817204301,0.0459057071960297,0.0112903225806451,-0.0463709677419355
Mrs. Honeychurch→Cecil,,,,,,,0.0238095238095237,0.0259740259740259,
Mrs. Honeychurch→Freddy,0.0575757575757576,0.138095238095238,-0.0347826086956521,0.0428571428571429,-0.0714285714285714,,0.0518518518518518,0.031578947368421,-0.0666666666666666
Mrs. Honeychurch→Lucy,0.0021390374331551,0.0632996632996633,-0.0284382284382284,-0.0246753246753246,0.0279220779220779,0.1524475524475524,0.0503171247357293,0.0855036855036855,0.0964426877470355
Rev. Cuthbert Eager→Lucy,,,-0.1846153846153846,,,,-0.0839160839160839,,
