quoteID,quoteText,quoteBy,quoteTo
Q0,the signora had no business to do it no business at all she promised us south rooms with a view close together instead of which here are north rooms looking into a courtyard and a long way apart oh lucy,Miss Bartlett,['Lucy']
Q1,and a cockney besides it might be london,Lucy,['Miss Bartlett']
Q2,charlotte don t you feel too that we might be in london i can hardly believe that all kinds of other things are just outside i suppose it is one s being so tired,Lucy,['Miss Bartlett']
Q3,this meat has surely been used for soup,Miss Bartlett,['Lucy']
Q4,i want so to see the arno the rooms the signora promised us in her letter would have looked over the arno the signora had no business to do it at all oh it is a shame,Lucy,['Miss Bartlett']
Q5,any nook does for me but it does seem hard that you shouldn t have a view,Miss Bartlett,['Lucy']
Q6,charlotte you mustn t spoil me of course you must look over the arno too i meant that the first vacant room in the front,Lucy,['Miss Bartlett']
Q7,you must have it,Miss Bartlett,['Lucy']
Q8,no no you must have it,Lucy,['Miss Bartlett']
Q9,i insist on it your mother would never forgive me lucy,Miss Bartlett,['Lucy']
Q10,she would never forgive me,Lucy,['Miss Bartlett']
Q11,i have a view i have a view,Mr. Emerson,"['Miss Bartlett', 'Lucy']"
Q12,a view oh a view how delightful a view is,Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']"
Q13,this is my son his name s george he has a view too,Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']"
Q14,ah,Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']"
Q15,what i mean is that you can have our rooms and we ll have yours we ll change,Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']"
Q16,thank you very much indeed that is out of the question,Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']"
Q17,why,Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']"
Q18,because it is quite out of the question thank you,Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']"
Q19,you see we don t like to take,Lucy,"['George Emerson', 'Mr. Emerson', 'Miss Bartlett']"
Q20,but why women like looking at a view men don t,Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']"
Q21,george persuade them,Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']"
Q22,it s so obvious they should have the rooms there s nothing else to say,George Emerson,"['Lucy', 'Mr. Emerson', 'Miss Bartlett']"
Q23,eat your dinner dear,Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']"
Q24,eat your dinner dear this pension is a failure to morrow we will make a change,Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']"
Q25,oh oh why it s mr beebe oh how perfectly lovely oh charlotte we must stop now however bad the rooms are oh,Lucy,"['George Emerson', 'Mr. Emerson', 'Miss Bartlett', 'Mr. Beebe']"
Q26,how do you do mr beebe i expect that you have forgotten us miss bartlett and miss honeychurch who were at tunbridge wells when you helped the vicar of st peter s that very cold easter,Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson', 'Mr. Beebe']"
Q27,i am so glad to see you just fancy how small the world is summer street too makes it so specially funny,Lucy,"['George Emerson', 'Miss Bartlett', 'Mr. Beebe']"
Q28,miss honeychurch lives in the parish of summer street and she happened to tell me in the course of conversation that you have just accepted the living,Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson', 'Mr. Beebe']"
