merge_id,speaker,addressees,text_merged,first_turn_index,last_turn_index,source_quoteIDs
0,Miss Bartlett,['Lucy'],the signora had no business to do it no business at all she promised us south rooms with a view close together instead of which here are north rooms looking into a courtyard and a long way apart oh lucy,0,0,Q0
1,Lucy,['Miss Bartlett'],and a cockney besides it might be london charlotte don t you feel too that we might be in london i can hardly believe that all kinds of other things are just outside i suppose it is one s being so tired,1,2,"Q1,Q2"
2,Miss Bartlett,['Lucy'],this meat has surely been used for soup,3,3,Q3
3,Lucy,['Miss Bartlett'],i want so to see the arno the rooms the signora promised us in her letter would have looked over the arno the signora had no business to do it at all oh it is a shame,4,4,Q4
4,Miss Bartlett,['Lucy'],any nook does for me but it does seem hard that you shouldn t have a view,5,5,Q5
5,Lucy,['Miss Bartlett'],charlotte you mustn t spoil me of course you must look over the arno too i meant that the first vacant room in the front,6,6,Q6
6,Miss Bartlett,['Lucy'],you must have it,7,7,Q7
7,Lucy,['Miss Bartlett'],no no you must have it,8,8,Q8
8,Miss Bartlett,['Lucy'],i insist on it your mother would never forgive me lucy,9,9,Q9
9,Lucy,['Miss Bartlett'],she would never forgive me,10,10,Q10
10,Mr. Emerson,"['Lucy', 'Miss Bartlett']",i have a view i have a view,11,11,Q11
11,Miss Bartlett,"['George Emerson', 'Lucy', 'Mr. Emerson']",a view oh a view how delightful a view is,12,12,Q12
12,Mr. Emerson,"['George Emerson', 'Lucy', 'Miss Bartlett']",this is my son his name s george he has a view too,13,13,Q13
13,Miss Bartlett,"['George Emerson', 'Lucy', 'Mr. Emerson']",ah,14,14,Q14
14,Mr. Emerson,"['George Emerson', 'Lucy', 'Miss Bartlett']",what i mean is that you can have our rooms and we ll have yours we ll change,15,15,Q15
15,Miss Bartlett,"['George Emerson', 'Lucy', 'Mr. Emerson']",thank you very much indeed that is out of the question,16,16,Q16
16,Mr. Emerson,"['George Emerson', 'Lucy', 'Miss Bartlett']",why,17,17,Q17
17,Miss Bartlett,"['George Emerson', 'Lucy', 'Mr. Emerson']",because it is quite out of the question thank you,18,18,Q18
18,Lucy,"['George Emerson', 'Miss Bartlett', 'Mr. Emerson']",you see we don t like to take,19,19,Q19
19,Mr. Emerson,"['George Emerson', 'Lucy', 'Miss Bartlett']",but why women like looking at a view men don t george persuade them,20,21,"Q20,Q21"
20,George Emerson,"['Lucy', 'Miss Bartlett', 'Mr. Emerson']",it s so obvious they should have the rooms there s nothing else to say,22,22,Q22
21,Miss Bartlett,"['George Emerson', 'Lucy', 'Mr. Emerson']",eat your dinner dear eat your dinner dear this pension is a failure to morrow we will make a change,23,24,"Q23,Q24"
