a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Adela Quested,Cyril Fielding,adverbs,9,8,5,0.625,0.5555555555555556,0.06944444444444442,F,major,M,major
Adela Quested,Cyril Fielding,articles,9,4,1,0.25,0.5555555555555556,-0.3055555555555556,F,major,M,major
Adela Quested,Cyril Fielding,auxiliary_verbs,9,6,5,0.8333333333333334,0.7777777777777778,0.05555555555555558,F,major,M,major
Adela Quested,Cyril Fielding,conjunctions,9,7,2,0.2857142857142857,0.4444444444444444,-0.15873015873015872,F,major,M,major
Adela Quested,Cyril Fielding,impersonal_pronouns,9,6,4,0.6666666666666666,0.5555555555555556,0.11111111111111105,F,major,M,major
Adela Quested,Cyril Fielding,negations,9,2,0,0.0,0.2222222222222222,-0.2222222222222222,F,major,M,major
Adela Quested,Cyril Fielding,personal_pronouns,9,9,5,0.5555555555555556,0.5555555555555556,0.0,F,major,M,major
Adela Quested,Cyril Fielding,prepositions,9,7,4,0.5714285714285714,0.5555555555555556,0.015873015873015817,F,major,M,major
Adela Quested,Cyril Fielding,quantifiers,9,4,2,0.5,0.5555555555555556,-0.05555555555555558,F,major,M,major
Adela Quested,Dr. Aziz,auxiliary_verbs,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,F,major,M,major
Adela Quested,Dr. Aziz,impersonal_pronouns,3,2,1,0.5,0.3333333333333333,0.16666666666666669,F,major,M,major
Adela Quested,Dr. Aziz,prepositions,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,F,major,M,major
Adela Quested,Dr. Aziz,quantifiers,3,2,1,0.5,0.3333333333333333,0.16666666666666669,F,major,M,major
Adela Quested,Hamidullah,adverbs,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,F,major,M,intermediate
Adela Quested,Hamidullah,personal_pronouns,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,F,major,M,intermediate
Adela Quested,Mr. Das,adverbs,2,2,0,0.0,0.0,0.0,F,major,M,intermediate
Adela Quested,Mr. Das,negations,2,2,1,0.5,0.5,0.0,F,major,M,intermediate
Adela Quested,Mr. Mcbryde,personal_pronouns,2,2,1,0.5,0.5,0.0,F,major,M,intermediate
Adela Quested,Mrs. Moore,adverbs,14,8,6,0.75,0.5714285714285714,0.1785714285714286,F,major,F,major
Adela Quested,Mrs. Moore,articles,14,7,3,0.42857142857142855,0.42857142857142855,0.0,F,major,F,major
Adela Quested,Mrs. Moore,auxiliary_verbs,14,5,3,0.6,0.5714285714285714,0.02857142857142858,F,major,F,major
