family,gender,mean_conv
adverbs,F,0.00341485808687656
adverbs,M,0.008252563609078832
articles,F,0.04504601775036629
articles,M,0.01095647950147834
auxiliary_verbs,F,-0.0020993308144550893
auxiliary_verbs,M,0.015390670583991165
conjunctions,F,0.006804017264573147
conjunctions,M,0.015519332065036853
impersonal_pronouns,F,0.027509985133954723
impersonal_pronouns,M,0.027477431977159985
negations,F,0.025392741758398518
negations,M,0.009966452126473254
personal_pronouns,F,0.006203777060428111
personal_pronouns,M,0.006156357087917474
prepositions,F,0.006257486546473466
prepositions,M,0.01445847024835831
quantifiers,F,0.050409888688299674
quantifiers,M,0.006100095562860538
