family,gender,mean_conv
adverbs,F,-0.006931247663155567
adverbs,M,0.01985583860583861
articles,F,-0.010925321883139223
articles,M,0.01783910533910534
auxiliary_verbs,F,0.020036901147098503
auxiliary_verbs,M,0.05589939574314574
conjunctions,F,-0.007556683307120767
conjunctions,M,0.03752587991718426
impersonal_pronouns,F,-0.00589879243563455
impersonal_pronouns,M,0.055806182121971595
negations,F,0.021141179394767916
negations,M,0.007253086419753079
personal_pronouns,F,0.027051237968075265
personal_pronouns,M,0.0047336922336922264
prepositions,F,0.015388945849472153
prepositions,M,0.011333573833573835
quantifiers,F,0.0671119585247009
quantifiers,M,0.009497354497354499
