family,gender,mean_conv
adverbs,F,0.048895702363036794
adverbs,M,-0.006129720720156453
articles,F,-0.00703474737876235
articles,M,-0.013393853552241791
auxiliary_verbs,F,0.005191779193312413
auxiliary_verbs,M,0.006276559743266117
conjunctions,F,-0.006551076773428663
conjunctions,M,-0.011139491618826975
impersonal_pronouns,F,-0.01204819760660851
impersonal_pronouns,M,0.041456026145988846
negations,F,0.008568282655680824
negations,M,0.01715959491595475
personal_pronouns,F,0.004106952353280632
personal_pronouns,M,-0.001873482186896054
prepositions,F,-0.019944686717011342
prepositions,M,-0.0036558190156823823
quantifiers,F,-0.018236272559068952
quantifiers,M,0.02006296424435611
