family,gender,mean_conv
adverbs,F,0.006582809681381955
adverbs,M,0.013849772638631469
articles,F,0.02841336657349951
articles,M,0.030860685602742435
auxiliary_verbs,F,0.019803773919165997
auxiliary_verbs,M,0.01722072883966927
conjunctions,F,0.006793750110533547
conjunctions,M,0.018262186078116385
impersonal_pronouns,F,0.05000180267835508
impersonal_pronouns,M,0.039891112573610374
negations,F,0.014813549817924702
negations,M,-0.00339380521926095
personal_pronouns,F,0.010226913313119054
personal_pronouns,M,0.019287526643907
prepositions,F,0.018309581235815022
prepositions,M,0.0030730660121406767
quantifiers,F,0.03429654327723875
quantifiers,M,0.03584768290751609
