family,gender,mean_conv
adverbs,F,0.010927459319003435
adverbs,M,0.009152168586130854
articles,F,0.015668377749881095
articles,M,-0.029391774891774892
auxiliary_verbs,F,0.011500022402659316
auxiliary_verbs,M,0.0220492742551566
conjunctions,F,-0.006116243357253123
conjunctions,M,0.0322395689416966
impersonal_pronouns,F,0.0540055296918042
impersonal_pronouns,M,0.01717758985200846
negations,F,0.0916792299670451
negations,M,0.048489658489658485
personal_pronouns,F,0.019691930618401205
personal_pronouns,M,0.00014908117317756402
prepositions,F,0.014461458733904557
prepositions,M,0.0015353290777019575
quantifiers,F,0.038398794281147224
quantifiers,M,0.030102872038355905
