family,gender,mean_conv
adverbs,F,-0.013200586346342838
adverbs,M,-0.00359074088259915
articles,F,-0.00620212497290011
articles,M,-0.013726818856805068
auxiliary_verbs,F,-0.001475998771502598
auxiliary_verbs,M,-0.00539503152488592
conjunctions,F,-0.012378546350795641
conjunctions,M,0.005534732274007918
impersonal_pronouns,F,-0.007433208635222155
impersonal_pronouns,M,0.0004448690039788539
negations,F,0.015935930169307035
negations,M,-0.0016360188668938873
personal_pronouns,F,-0.011095818617266152
personal_pronouns,M,-0.00762507387780621
prepositions,F,-0.004480545354914349
prepositions,M,0.006649024455560102
quantifiers,F,-0.007463116245592065
quantifiers,M,0.016810213849267435
