family,importance,mean_conv
adverbs,intermediate,0.019102574455382656
adverbs,major,0.0068981146863744775
adverbs,minor,0.028070175438596495
articles,intermediate,0.008507510366982466
articles,major,0.0436161430598768
articles,minor,0.03518518518518519
auxiliary_verbs,intermediate,0.010584190395769622
auxiliary_verbs,major,0.012601816405857924
auxiliary_verbs,minor,0.015053763440860218
conjunctions,intermediate,0.004335427293768155
conjunctions,major,0.025456733051944375
conjunctions,minor,-0.030769230769230767
impersonal_pronouns,intermediate,0.040133254886211736
impersonal_pronouns,major,0.0403191233420901
impersonal_pronouns,minor,0.08095238095238096
negations,intermediate,0.03153563825052683
negations,major,0.005080044587811419
negations,minor,-0.021428571428571432
personal_pronouns,intermediate,0.011117073513600044
personal_pronouns,major,0.0135920220424236
personal_pronouns,minor,0.018859649122807014
prepositions,intermediate,-0.003174913019917689
prepositions,major,0.020146361539762472
prepositions,minor,-0.027160493827160497
quantifiers,intermediate,0.00015419516343883225
quantifiers,major,0.04461484810276102
quantifiers,minor,0.008333333333333331
