family,importance,mean_conv
adverbs,intermediate,-0.0038095238095238143
adverbs,major,0.008371303230325781
adverbs,minor,0.0
articles,intermediate,-0.028174603174603168
articles,major,0.009141853445259014
articles,minor,0.16666666666666663
auxiliary_verbs,intermediate,0.07837301587301587
auxiliary_verbs,major,0.018946234402374737
auxiliary_verbs,minor,0.16666666666666663
conjunctions,intermediate,0.0811111111111111
conjunctions,major,-0.003383877474434747
impersonal_pronouns,intermediate,0.021781305114638463
impersonal_pronouns,major,0.02048045438271001
negations,intermediate,-0.04007936507936508
negations,major,0.028634263214855318
personal_pronouns,intermediate,0.0029609279609279613
personal_pronouns,major,0.022711538258334593
personal_pronouns,minor,0.0
prepositions,intermediate,-0.019047619047619056
prepositions,major,0.028332481034235416
prepositions,minor,0.0
quantifiers,intermediate,-0.0014739229024943418
quantifiers,major,0.05812455088770878
quantifiers,minor,-0.08333333333333337
