family,importance,mean_conv
adverbs,intermediate,0.00359931100816782
adverbs,major,-0.0022224039766597986
adverbs,minor,0.006666666666666638
articles,intermediate,-0.016604395762801417
articles,major,-0.015502673979027111
articles,minor,-0.12916666666666665
auxiliary_verbs,intermediate,-0.0024170338995487214
auxiliary_verbs,major,0.0025150232955477732
auxiliary_verbs,minor,-0.042673992673992675
conjunctions,intermediate,-0.01875158160578171
conjunctions,major,0.0020883532656497195
conjunctions,minor,0.1988095238095238
impersonal_pronouns,intermediate,0.009123963868790207
impersonal_pronouns,major,0.004605497038261838
impersonal_pronouns,minor,-0.1619047619047619
negations,intermediate,0.05087499800104481
negations,major,0.00777343795547315
negations,minor,0.1333333333333333
personal_pronouns,intermediate,-0.01204510846188523
personal_pronouns,major,-0.010453223145188411
personal_pronouns,minor,0.02380952380952381
prepositions,intermediate,-0.005083501700292734
prepositions,major,0.0072952923617765125
prepositions,minor,-0.021666666666666678
quantifiers,intermediate,-0.006331268432345724
quantifiers,major,0.024932115873428088
quantifiers,minor,-0.2261904761904762
