family,importance,mean_conv
adverbs,intermediate,-0.017124856701572263
adverbs,major,0.007501351213603364
adverbs,minor,-0.07261904761904762
articles,intermediate,-0.021144102787581703
articles,major,-0.0071009341931555356
articles,minor,0.024206349206349207
auxiliary_verbs,intermediate,-0.007247189283338498
auxiliary_verbs,major,-0.003873934756760659
auxiliary_verbs,minor,0.011904761904761908
conjunctions,intermediate,0.025423796549921968
conjunctions,major,-0.015810581776115006
conjunctions,minor,-0.01292517006802722
impersonal_pronouns,intermediate,-0.012131218377359308
impersonal_pronouns,major,0.0007202497365211977
impersonal_pronouns,minor,0.02023809523809524
negations,intermediate,0.021625667712550506
negations,major,0.0004990558463519501
negations,minor,-0.03571428571428571
personal_pronouns,intermediate,-0.004610395257648301
personal_pronouns,major,-0.009591035792187674
personal_pronouns,minor,-0.027267573696145127
prepositions,intermediate,0.02765328503050536
prepositions,major,-0.009608424681020005
prepositions,minor,-0.02452380952380952
quantifiers,intermediate,0.030851633562178436
quantifiers,major,-0.005705160690847934
quantifiers,minor,0.028571428571428564
