a_category,b_category,mean_weight,count
intermediate,intermediate,0.016120369514083344,23
intermediate,major,0.01005857569857645,47
intermediate,minor,-3.0839528461809902e-18,4
intermediate,none,-0.004574523294366784,7
major,intermediate,0.008748116428298886,42
major,major,0.019844205775058934,49
major,minor,0.00470260901295384,12
major,none,0.0020494144065091235,12
minor,intermediate,0.03888888888888889,4
minor,major,-0.016640790087965013,8
minor,none,-0.0013020833333333409,4
none,intermediate,0.003771780276071172,9
none,major,0.017998912158954054,10
none,minor,-0.011805555555555562,4
none,none,-0.006229899477184385,2
