a_category,b_category,mean_weight,count
intermediate,intermediate,0.011328011432135838,14
intermediate,major,-0.0014686739330216473,35
intermediate,minor,-0.04848484848484848,5
intermediate,none,-0.004721141791696911,8
major,intermediate,-0.01127091868045308,35
major,major,0.04114187350581872,45
major,minor,-0.0069444444444444475,4
major,none,-0.0099936387260556,8
minor,intermediate,2.05596856412066e-18,6
minor,major,0.009999999999999997,7
minor,minor,0.0,1
minor,none,0.0,2
none,intermediate,0.01771978021978022,7
none,major,0.013048056440913582,8
none,minor,2.0816681711721685e-17,2
none,none,0.047619047619047616,2
