a_category,b_category,mean_weight,count
intermediate,intermediate,-0.005918347552923635,23
intermediate,major,-0.00015317691224235778,47
intermediate,minor,-0.0069444444444444475,4
intermediate,none,-0.009500844654308524,7
major,intermediate,0.0058788643567777915,42
major,major,-0.004345018602147444,49
major,minor,-0.013992656449553003,12
major,none,0.006684936700126747,12
minor,intermediate,-0.04444444444444446,4
minor,major,-0.028375703351516048,8
minor,none,-0.015190972222222227,4
none,intermediate,-0.015384065078913801,9
none,major,-0.0042266522511711395,10
none,minor,0.002083333333333331,4
none,none,0.007812184351086434,2
