character,community_id
Hassan,0
Miss Derek,0
The Nawab Badahur,0
Mr. Bhattacharya,0
Mrs. Turton,0
Mr. Das,0
Cyril Fielding,0
Mr. Mcbryde,0
Mrs. Callendar,0
_unknowable,0
Mr. Turton,0
Ram Chand,0
Mahmoud Ali,0
Mrs. Moore,0
Mrs. Lesley,0
Mohammed Latif,0
Adela Quested,0
Dr. Panna Lal,0
Mrs. Bhattacharya,0
Syed Mohammed,0
Mr. Amritrao,0
Ralph,0
Hamidullah,0
Antony,0
Rafi,0
Mr. Haq,0
Ronny Heaslop,0
Mr. Harris,0
Mrs. Mcbryde,0
Professor Godbole,0
The Lady Who Had Been A Nurse,0
A Stray Subaltern,0
Dr. Aziz,0
Major Callendar,0
The Servant,0
Mrs. Wilcox,1
The Parlourmaid,1
Aunt Juley,1
Mrs. Bast,1
An Earnest Girl,1
Jacky,1
His Father'S Chauffeur,1
Fraulein Mosebach,1
Crane,1
Paul,1
Albert Fussell,1
The Reader Of The Paper,1
Colonel Fussell,1
Mr. Wilcox,1
Dolly,1
Frieda,1
A Young Man Low Down In The Education Office,1
Mr. Cahill,1
Herr Liesecke,1
Leonard,1
Miss Avery,1
Helen,1
Evie,1
Mr. Cunningham,1
Henry,1
Charles Wilcox,1
Mansbridge,1
Tom,1
Margaret,1
Madge,1
Tibby,1
Mr. Beebe,2
Lucy,2
Mrs. Honeychurch,2
George Emerson,2
Freddy,2
The Little Old Lady,2
The Vicar,2
Miss Catherine Alan,2
Powell,2
Sir Harry Otway,2
Rev. Cuthbert Eager,2
Miss Lavish,2
Minnie Beebe,2
Mrs. Vyse,2
Mr. Vyse,2
Miss Bartlett,2
Cecil,2
Mr. Emerson,2
The Driver,3
Perfetta,3
Caroline Abbott,3
Lilia,3
Spiridione,3
Irma,3
The Landlady,3
Little Girl,3
Signor Carella,3
Mr. Herriton,3
Harriet,3
Mrs. Herriton,3
Miss Teresa,4
Miss Catharine,4
