A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel
Hamidullah,Mahmoud Ali,1,3,do not apologize you are always late,thank you dr aziz i am dying,Dr. Aziz; Mahmoud Ali,M,intermediate,M,intermediate,APassageToIndia
Dr. Aziz,Hamidullah,4,6,dying before your dinner oh poor mahmoud ali,yes that is so imagine us both as addressing you from another and a happier world,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia
Mahmoud Ali,Dr. Aziz,5,7,hamidullah here is actually dead he passed away just as you rode up on your bike,does there happen to be such a thing as a hookah in that happier world of yours,Dr. Aziz; Hamidullah,M,intermediate,M,major,APassageToIndia
Dr. Aziz,Mahmoud Ali,7,9,does there happen to be such a thing as a hookah in that happier world of yours,well look at my own experience this morning,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia
Mahmoud Ali,Dr. Aziz,19,21,no that is where mrs turton is so skilful when we poor blacks take bribes we perform what we are bribed to perform and the law discovers us in consequence the english take and do nothing i admire them,oh not yet hookah is so jolly now,Dr. Aziz; Hamidullah,M,intermediate,M,major,APassageToIndia
Dr. Aziz,Mahmoud Ali,21,23,oh not yet hookah is so jolly now,queen victoria was different,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia
Mahmoud Ali,Dr. Aziz,23,25,queen victoria was different,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,Dr. Aziz; Hamidullah,M,intermediate,M,major,APassageToIndia
Dr. Aziz,Mahmoud Ali,25,27,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,so have i all ladies are far from alike,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia
_unknowable,Hamidullah,28,30,she said in the most natural way she offered me a lozenge when the dust irritated my throat,come and see my wife a little then,Dr. Aziz; Hamidullah; Mahmoud Ali,F,intermediate,M,intermediate,APassageToIndia
Mahmoud Ali,Dr. Aziz,29,31,but of course all this is exceptional the exception does not prove the rule the average woman is like mrs turton and aziz you know what she is,once is enough,Dr. Aziz; Hamidullah,M,intermediate,M,major,APassageToIndia
Dr. Aziz,Hamidullah Begum,33,35,aunt they live most comfortably with my wife s mother where she was living when she died i can see them whenever i like they are such very very small children,what is to become of all our daughters if men refuse to marry they will marry beneath them or,Hamidullah; Hamidullah Begum,M,major,F,minor,APassageToIndia
Hamidullah,Dr. Aziz,34,36,and he sends them the whole of his salary and lives like a low grade clerk and tells no one the reason what more do you require him to do,perhaps but later,Dr. Aziz; Hamidullah Begum,M,intermediate,M,major,APassageToIndia
Hamidullah Begum,Hamidullah,35,37,what is to become of all our daughters if men refuse to marry they will marry beneath them or,you mustn t put off what you think right that is why india is in such a plight because we put off things,Dr. Aziz; Hamidullah,F,minor,M,intermediate,APassageToIndia
Mrs. Lesley,Dr. Aziz,47,49,ours take the gifts the gods provide anyhow,go i will pay you to morrow you are most welcome ladies,Dr. Aziz; Mrs. Callendar; The Servant,F,minor,M,major,APassageToIndia
_unknowable,Dr. Aziz,48,50,o tonga wallah club club why doesn t the fool go,saying nothing then i will write him a letter tell him i have called that is sufficient here is my card call me a tonga,Dr. Aziz; Mrs. Callendar; Mrs. Lesley; The Servant,F,intermediate,M,major,APassageToIndia
Dr. Aziz,The Servant,49,51,go i will pay you to morrow you are most welcome ladies,huzoor all are at the club,Mrs. Callendar; Mrs. Lesley; The Servant,M,major,M,minor,APassageToIndia
The Servant,Dr. Aziz,51,53,huzoor all are at the club,madam madam madam,Dr. Aziz,M,minor,M,major,APassageToIndia
