a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Aunt Juley,Helen,adverbs,6,4,2,0.5,0.6666666666666666,-0.16666666666666663,F,major,F,major
Aunt Juley,Helen,articles,6,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,F,major
Aunt Juley,Helen,auxiliary_verbs,6,4,3,0.75,0.8333333333333334,-0.08333333333333337,F,major,F,major
Aunt Juley,Helen,conjunctions,6,4,3,0.75,0.6666666666666666,0.08333333333333337,F,major,F,major
Aunt Juley,Helen,impersonal_pronouns,6,4,3,0.75,0.5,0.25,F,major,F,major
Aunt Juley,Helen,personal_pronouns,6,5,4,0.8,0.8333333333333334,-0.033333333333333326,F,major,F,major
Aunt Juley,Helen,prepositions,6,5,5,1.0,0.8333333333333334,0.16666666666666663,F,major,F,major
Aunt Juley,Margaret,adverbs,6,5,3,0.6,0.6666666666666666,-0.06666666666666665,F,major,F,major
Aunt Juley,Margaret,articles,6,5,2,0.4,0.3333333333333333,0.06666666666666671,F,major,F,major
Aunt Juley,Margaret,auxiliary_verbs,6,4,3,0.75,0.6666666666666666,0.08333333333333337,F,major,F,major
Aunt Juley,Margaret,conjunctions,6,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,F,major
Aunt Juley,Margaret,impersonal_pronouns,6,3,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,F,major,F,major
Aunt Juley,Margaret,negations,6,3,2,0.6666666666666666,0.5,0.16666666666666663,F,major,F,major
Aunt Juley,Margaret,personal_pronouns,6,5,4,0.8,0.8333333333333334,-0.033333333333333326,F,major,F,major
Aunt Juley,Margaret,prepositions,6,5,3,0.6,0.5,0.09999999999999998,F,major,F,major
Aunt Juley,Margaret,quantifiers,6,3,3,1.0,0.6666666666666666,0.33333333333333337,F,major,F,major
Aunt Juley,Tibby,auxiliary_verbs,3,3,3,1.0,1.0,0.0,F,major,M,intermediate
Charles Wilcox,Margaret,adverbs,3,3,2,0.6666666666666666,0.6666666666666666,0.0,M,major,F,major
Charles Wilcox,Margaret,articles,3,3,0,0.0,0.0,0.0,M,major,F,major
Dolly,Margaret,adverbs,4,3,1,0.3333333333333333,0.5,-0.16666666666666669,F,intermediate,F,major
Dolly,Margaret,personal_pronouns,4,4,2,0.5,0.5,0.0,F,intermediate,F,major
Evie,Henry,personal_pronouns,5,4,2,0.5,0.6,-0.09999999999999998,F,intermediate,,
Helen,Aunt Juley,adverbs,7,4,2,0.5,0.5714285714285714,-0.0714285714285714,F,major,F,major
Helen,Aunt Juley,articles,7,3,2,0.6666666666666666,0.5714285714285714,0.09523809523809523,F,major,F,major
Helen,Aunt Juley,auxiliary_verbs,7,6,4,0.6666666666666666,0.7142857142857143,-0.04761904761904767,F,major,F,major
Helen,Aunt Juley,conjunctions,7,4,3,0.75,0.5714285714285714,0.1785714285714286,F,major,F,major
Helen,Aunt Juley,impersonal_pronouns,7,5,3,0.6,0.7142857142857143,-0.11428571428571432,F,major,F,major
Helen,Aunt Juley,negations,7,4,0,0.0,0.2857142857142857,-0.2857142857142857,F,major,F,major
Helen,Aunt Juley,personal_pronouns,7,6,4,0.6666666666666666,0.7142857142857143,-0.04761904761904767,F,major,F,major
Helen,Aunt Juley,prepositions,7,5,3,0.6,0.5714285714285714,0.02857142857142858,F,major,F,major
Helen,Leonard,adverbs,9,6,2,0.3333333333333333,0.4444444444444444,-0.1111111111111111,F,major,M,major
Helen,Leonard,articles,9,6,0,0.0,0.2222222222222222,-0.2222222222222222,F,major,M,major
Helen,Leonard,auxiliary_verbs,9,7,3,0.42857142857142855,0.5555555555555556,-0.12698412698412703,F,major,M,major
Helen,Leonard,conjunctions,9,5,0,0.0,0.2222222222222222,-0.2222222222222222,F,major,M,major
Helen,Leonard,impersonal_pronouns,9,4,4,1.0,0.7777777777777778,0.2222222222222222,F,major,M,major
Helen,Leonard,negations,9,3,1,0.3333333333333333,0.2222222222222222,0.1111111111111111,F,major,M,major
Helen,Leonard,personal_pronouns,9,7,5,0.7142857142857143,0.7777777777777778,-0.06349206349206349,F,major,M,major
Helen,Leonard,prepositions,9,6,3,0.5,0.5555555555555556,-0.05555555555555558,F,major,M,major
Helen,Leonard,quantifiers,9,3,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,F,major,M,major
Helen,Margaret,adverbs,25,14,8,0.5714285714285714,0.64,-0.06857142857142862,F,major,F,major
Helen,Margaret,articles,25,17,7,0.4117647058823529,0.36,0.051764705882352935,F,major,F,major
Helen,Margaret,auxiliary_verbs,25,16,10,0.625,0.56,0.06499999999999995,F,major,F,major
Helen,Margaret,conjunctions,25,17,6,0.35294117647058826,0.4,-0.047058823529411764,F,major,F,major
Helen,Margaret,impersonal_pronouns,25,15,4,0.26666666666666666,0.28,-0.013333333333333364,F,major,F,major
Helen,Margaret,personal_pronouns,25,23,16,0.6956521739130435,0.68,0.01565217391304341,F,major,F,major
Helen,Margaret,prepositions,25,18,8,0.4444444444444444,0.44,0.0044444444444444176,F,major,F,major
Helen,Margaret,quantifiers,25,11,1,0.09090909090909091,0.2,-0.1090909090909091,F,major,F,major
Helen,Tibby,adverbs,5,4,1,0.25,0.2,0.04999999999999999,F,major,M,intermediate
Helen,Tibby,articles,5,4,3,0.75,0.6,0.15000000000000002,F,major,M,intermediate
