a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Aunt Juley,Helen,7,6,29,0.030952380952380953,0.034482758620689655,F,major,F,major
Aunt Juley,Margaret,9,6,36,0.10925925925925926,0.08796296296296297,F,major,F,major
Aunt Juley,Tibby,1,3,3,0.0,0.0,F,major,M,intermediate
Charles Wilcox,Margaret,2,3,6,0.0,0.0,M,major,F,major
Dolly,Margaret,2,4,7,-0.08333333333333334,-0.07142857142857142,F,intermediate,F,major
Evie,Henry,1,5,4,-0.09999999999999998,-0.09999999999999998,F,intermediate,,
Helen,Aunt Juley,8,7,37,-0.03303571428571429,-0.03861003861003863,F,major,F,major
Helen,Leonard,9,9,47,-0.014991181657848332,-0.054373522458628844,F,major,M,major
Helen,Margaret,8,25,131,-0.012649146285655267,-0.0061068702290076665,F,major,F,major
Helen,Tibby,7,5,26,0.1357142857142857,0.11538461538461539,F,major,M,intermediate
Henry,Charles Wilcox,1,3,3,0.0,0.0,,,M,major
Henry,Dolly,4,4,12,0.02083333333333333,0.020833333333333332,,,F,intermediate
Henry,Evie,5,4,16,0.06666666666666665,0.062499999999999986,,,F,intermediate
Henry,Helen,8,6,40,-0.02916666666666665,-0.012499999999999983,,,F,major
Henry,Margaret,9,27,101,-0.0037212273323384342,-0.004767143381004763,,,F,major
Leonard,Helen,8,9,40,0.06964285714285715,0.05277777777777777,M,major,F,major
Leonard,Margaret,7,8,34,-0.07857142857142858,-0.06985294117647059,M,major,F,major
Margaret,Aunt Juley,2,4,7,0.0,0.0,F,major,F,major
Margaret,Fraulein Mosebach,4,4,12,-0.08333333333333336,-0.08333333333333336,F,major,F,minor
Margaret,Helen,9,19,91,0.034514738023509975,0.006940427993059591,F,major,F,major
Margaret,Henry,9,21,65,-0.0652557319223986,-0.07032967032967036,F,major,,
Margaret,Leonard,8,8,36,-0.048958333333333326,-0.04513888888888888,F,major,M,major
Margaret,Mrs. Wilcox,8,4,29,-0.04166666666666667,-0.034482758620689655,F,major,F,intermediate
Margaret,Tibby,7,5,23,-0.026190476190476226,-0.026086956521739174,F,major,M,intermediate
Miss Avery,Margaret,3,5,9,-0.022222222222222254,-0.022222222222222254,F,intermediate,F,major
Mr. Wilcox,Dolly,1,3,3,0.0,0.0,M,major,F,intermediate
Mrs. Wilcox,Margaret,7,6,26,0.014285714285714282,0.01923076923076924,F,intermediate,F,major
Tibby,Helen,1,4,3,-0.08333333333333337,-0.08333333333333337,M,intermediate,F,major
Tibby,Margaret,7,6,28,-0.02380952380952382,-0.01190476190476191,M,intermediate,F,major
