a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
A Young Man Low Down In The Education Office,Margaret,2,3,6,0.0,0.0,M,minor,F,major
Aunt Juley,Charles Wilcox,9,26,122,-0.028247215747215757,-0.013240857503152589,F,major,M,major
Aunt Juley,Helen,9,15,94,0.026647426647426642,0.002836879432624108,F,major,F,major
Aunt Juley,Margaret,9,52,250,-0.039905380379518324,-0.051000000000000024,F,major,F,major
Charles Wilcox,Aunt Juley,9,24,114,0.02870740370740372,0.023391812865497096,M,major,F,major
Charles Wilcox,Dolly,9,17,73,-0.03232653330692546,-0.047542304593070094,M,major,F,intermediate
Charles Wilcox,Evie,6,6,28,-0.0111111111111111,-0.011904761904761892,M,major,F,intermediate
Charles Wilcox,Henry,9,23,130,0.058715565716844505,0.014046822742474931,M,major,,
Charles Wilcox,His Father'S Chauffeur,5,6,21,-0.10999999999999996,-0.07936507936507933,M,major,M,minor
Charles Wilcox,Margaret,7,10,29,0.12551020408163263,0.09310344827586207,M,major,F,major
Charles Wilcox,Mr. Wilcox,7,8,33,0.12500000000000003,0.12121212121212122,M,major,M,major
Charles Wilcox,Tibby,8,6,29,0.07291666666666666,0.05172413793103448,M,major,M,intermediate
Dolly,Charles Wilcox,8,19,72,0.010260025062656657,-0.002192982456140333,F,intermediate,M,major
Dolly,Henry,9,7,38,0.11798941798941802,0.09022556390977446,F,intermediate,,
Dolly,Margaret,9,24,134,0.035989509286722926,0.014925373134328384,F,intermediate,F,major
Dolly,Mr. Wilcox,2,4,6,-0.12500000000000003,-0.12500000000000003,F,intermediate,M,major
Evie,Charles Wilcox,7,8,30,0.016156462585034004,0.004166666666666655,F,intermediate,M,major
Evie,Margaret,2,6,6,0.16666666666666666,0.16666666666666666,F,intermediate,F,major
Evie,Mr. Wilcox,4,6,13,0.10416666666666667,0.10256410256410257,F,intermediate,M,major
Fraulein Mosebach,Margaret,2,4,8,0.0,0.0,F,minor,F,major
Frieda,Aunt Juley,2,4,7,0.0,0.0,,,F,major
Helen,Aunt Juley,9,12,55,-0.049735449735449765,-0.040909090909090944,F,major,F,major
Helen,Fraulein Mosebach,4,3,12,0.0,0.0,F,major,F,minor
Helen,Frieda,7,5,27,0.08333333333333333,0.06666666666666665,F,major,,
Helen,Henry,9,20,105,-0.007291319791319806,-0.011428571428571439,F,major,,
