family,gender,mean_conv
adverbs,F,0.00371552363869905
adverbs,M,0.005332822532438015
articles,F,0.05819846606790749
articles,M,0.01955186963197386
auxiliary_verbs,F,-0.002942320846537789
auxiliary_verbs,M,0.03820532621154929
conjunctions,F,0.009567648826365302
conjunctions,M,0.0836035431472636
impersonal_pronouns,F,0.019733679890494227
impersonal_pronouns,M,0.02858038508033825
negations,F,0.01758865223448013
negations,M,0.022109338676679306
personal_pronouns,F,0.005644860153845642
personal_pronouns,M,0.014195362406414459
prepositions,F,0.004336988401699515
prepositions,M,0.01182833907421323
quantifiers,F,0.07305442475644403
quantifiers,M,0.023757908753445117
