family,gender,mean_conv
adverbs,F,0.06229993128778554
adverbs,M,0.06277777777777777
articles,F,0.026641983747246908
articles,M,0.1111111111111111
auxiliary_verbs,F,0.030730361256677052
auxiliary_verbs,M,-1.850371707708594e-17
conjunctions,F,-0.005025220880484034
conjunctions,M,0.22499999999999998
impersonal_pronouns,F,0.01355639097744361
impersonal_pronouns,M,0.033333333333333326
negations,F,0.0053996101364522375
negations,M,0.04166666666666666
personal_pronouns,F,0.010590186291940676
personal_pronouns,M,-0.0023148148148148064
prepositions,F,0.07097961034493541
prepositions,M,0.018055555555555547
quantifiers,F,-0.026538742690058487
quantifiers,M,-0.0069444444444444475
