family,gender,mean_conv
adverbs,F,-0.005641744017246557
adverbs,M,0.031083185611753016
articles,F,0.04663877803300656
articles,M,0.05061908359333071
auxiliary_verbs,F,0.02888122246066082
auxiliary_verbs,M,0.026904017234815458
conjunctions,F,0.03495695060342864
conjunctions,M,0.03175110431968878
impersonal_pronouns,F,0.035685950904574194
impersonal_pronouns,M,0.04539247022459586
negations,F,0.006887554482741873
negations,M,-0.043307676232340823
personal_pronouns,F,0.011417591531752473
personal_pronouns,M,0.031450647082395936
prepositions,F,0.004239310382918103
prepositions,M,0.0024955734553257715
quantifiers,F,0.023955325081620637
quantifiers,M,0.09686661689989862
