family,gender,mean_conv
adverbs,F,0.051283420700713934
adverbs,M,0.1638888888888889
articles,F,0.03485506696033013
articles,M,0.08055555555555553
auxiliary_verbs,F,0.00927814538268007
auxiliary_verbs,M,0.09074074074074075
conjunctions,F,0.08027795358204716
conjunctions,M,-0.09351851851851851
impersonal_pronouns,F,0.07249715197083619
impersonal_pronouns,M,-0.2222222222222222
negations,F,0.06611727732028484
negations,M,-0.1111111111111111
personal_pronouns,F,0.0135004417968407
personal_pronouns,M,0.004894179894179877
prepositions,F,0.044120435302369365
prepositions,M,0.06150793650793651
quantifiers,F,-0.02815911306042885
quantifiers,M,-0.09027777777777779
