family,gender,mean_conv
adverbs,F,0.0217198362043425
adverbs,M,-0.009586670847577127
articles,F,-0.004323356431812025
articles,M,-0.06163810366385656
auxiliary_verbs,F,0.0015928744864528754
auxiliary_verbs,M,-0.0009563470385922935
conjunctions,F,0.01662299928419361
conjunctions,M,-0.0225974406538562
impersonal_pronouns,F,-0.013321032159426411
impersonal_pronouns,M,0.0468334227408172
negations,F,0.07527942503721843
negations,M,-0.07843588136054595
personal_pronouns,F,0.02088596342083532
personal_pronouns,M,0.007907884218387886
prepositions,F,0.016349779859741558
prepositions,M,-0.01671230200254969
quantifiers,F,-0.029028204078197655
quantifiers,M,-0.04118500253329975
