family,importance,mean_conv
adverbs,intermediate,0.023665065441381226
adverbs,major,0.0042747994729097835
adverbs,minor,0.01428571428571428
articles,intermediate,0.10943077390445811
articles,major,0.020982019815636372
articles,minor,0.015873015873015872
auxiliary_verbs,intermediate,0.032210625631678265
auxiliary_verbs,major,0.01178554439634324
auxiliary_verbs,minor,0.010173160173160176
conjunctions,intermediate,0.007793754869778248
conjunctions,major,-0.012195955878070371
conjunctions,minor,-0.005952380952380931
impersonal_pronouns,intermediate,0.048816096184517224
impersonal_pronouns,major,-0.00399260053516722
impersonal_pronouns,minor,0.2023809523809524
negations,intermediate,-0.007775584981467322
negations,major,0.004237622202378015
negations,minor,-0.07142857142857142
personal_pronouns,intermediate,0.016840751751258723
personal_pronouns,major,0.03196325520118439
personal_pronouns,minor,-0.013888888888888895
prepositions,intermediate,0.040976731601731604
prepositions,major,0.02671474805110073
prepositions,minor,0.08380952380952378
quantifiers,intermediate,0.04855652388547125
quantifiers,major,0.024754031489630377
quantifiers,minor,-0.04126984126984127
