family,importance,mean_conv
adverbs,intermediate,-0.05555555555555558
adverbs,major,-0.0679818135081293
articles,intermediate,0.08333333333333334
articles,major,0.014129209284008041
auxiliary_verbs,intermediate,0.0
auxiliary_verbs,major,-0.010482124113703088
conjunctions,major,-0.05763636088713488
impersonal_pronouns,intermediate,0.0
impersonal_pronouns,major,0.028832658569500666
negations,major,0.03985310498468394
personal_pronouns,intermediate,-0.030555555555555558
personal_pronouns,major,0.030245547376962872
prepositions,intermediate,-0.044444444444444474
prepositions,major,0.0023110554163185675
quantifiers,intermediate,-0.08333333333333337
quantifiers,major,0.09743276541522156
