family,importance,mean_conv
adverbs,intermediate,0.04649751564225249
adverbs,major,-0.0006458390320941903
adverbs,minor,0.10833333333333331
articles,intermediate,0.003195884749528488
articles,major,-0.025303973361087806
articles,minor,-0.044444444444444446
auxiliary_verbs,intermediate,0.05527083409168428
auxiliary_verbs,major,-0.00034209032530568145
auxiliary_verbs,minor,-0.02962962962962963
conjunctions,intermediate,-0.05494382262474366
conjunctions,major,-0.004742077781962781
conjunctions,minor,-0.08333333333333333
impersonal_pronouns,intermediate,0.03809402412924086
impersonal_pronouns,major,-0.0016697797158965251
impersonal_pronouns,minor,0.025850340136054438
negations,intermediate,0.029389555905574214
negations,major,0.02439206456048203
negations,minor,0.125
personal_pronouns,intermediate,0.027564935260735713
personal_pronouns,major,0.01747064578465303
personal_pronouns,minor,-0.00555555555555556
prepositions,intermediate,0.015614852938319346
prepositions,major,-0.013881800662522361
prepositions,minor,0.02380952380952381
quantifiers,intermediate,-0.13243814966498033
quantifiers,major,0.009291711189265002
quantifiers,minor,-0.044444444444444446
