family,importance,mean_conv
adverbs,intermediate,0.017406514345898162
adverbs,major,0.008285321505607878
adverbs,minor,-0.005952380952380951
articles,intermediate,0.06498748673258478
articles,major,0.0329019503866502
articles,minor,0.09047619047619047
auxiliary_verbs,intermediate,0.045308483701675124
auxiliary_verbs,major,0.018881734691723464
auxiliary_verbs,minor,0.043333333333333335
conjunctions,intermediate,0.06395596831034421
conjunctions,major,0.03045202816930576
conjunctions,minor,0.0023809523809523764
impersonal_pronouns,intermediate,0.07844689390907876
impersonal_pronouns,major,0.026967527014208088
impersonal_pronouns,minor,0.03703703703703704
negations,intermediate,0.041701156695996736
negations,major,-0.03402631041716201
negations,minor,0.03333333333333333
personal_pronouns,intermediate,0.0006029139801069459
personal_pronouns,major,0.021911840074667073
personal_pronouns,minor,0.033440170940170946
prepositions,intermediate,-0.04392544184892704
prepositions,major,0.01760757897157483
prepositions,minor,0.015000000000000003
quantifiers,intermediate,0.05025351130726383
quantifiers,major,0.07182055214986743
quantifiers,minor,-0.043333333333333335
