family,importance,mean_conv
adverbs,intermediate,-0.04259368646000864
adverbs,major,0.03530821718389631
adverbs,minor,-0.08428571428571427
articles,intermediate,-0.03067564449375645
articles,major,0.008522687308109511
articles,minor,0.0029761904761904864
auxiliary_verbs,intermediate,-0.004983032737235269
auxiliary_verbs,major,-0.013606958269859177
auxiliary_verbs,minor,-0.034285714285714274
conjunctions,intermediate,0.0008023609666832048
conjunctions,major,-0.00048499451472543956
conjunctions,minor,-0.03015873015873018
impersonal_pronouns,intermediate,-0.022139662204242228
impersonal_pronouns,major,-0.01119541926035198
impersonal_pronouns,minor,0.05714285714285714
negations,intermediate,0.02110877611687081
negations,major,-0.0016991696490444637
negations,minor,-0.07142857142857142
personal_pronouns,intermediate,0.030076096674782622
personal_pronouns,major,-0.01499228561479518
personal_pronouns,minor,-0.04634920634920635
prepositions,intermediate,0.022267216702572565
prepositions,major,0.005953698259618827
prepositions,minor,-0.06130952380952381
quantifiers,intermediate,0.005345322981210916
quantifiers,major,-0.04918205155586685
quantifiers,minor,0.14285714285714285
