a_category,b_category,mean_weight,count
intermediate,intermediate,-0.041666666666666685,2
intermediate,major,0.05426949588790674,12
intermediate,minor,0.0,1
intermediate,none,-0.052083333333333336,2
major,intermediate,0.03584357271296047,11
major,major,0.0029880273669647406,16
major,minor,0.03014367690395996,5
major,none,0.031185074877754015,6
minor,major,-0.00517762660619804,6
minor,none,0.0,1
none,intermediate,-0.04496336996336997,2
none,major,-0.03038073169627901,6
none,minor,0.03749999999999998,1
