character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Margaret,12,13,0.5535828712461182,0.5543992133683509,0.5222316704459562,0.6476190476190476,F,major
Charles Wilcox,8,8,0.4617491091478165,0.3531082581749287,0.14340513983371125,0.30714285714285716,M,major
Evie,6,4,0.3679000597104044,0.37702408194399023,0.023856764928193504,0.29285714285714287,F,intermediate
Henry,6,7,0.19690043078516808,0.21996871419000633,0.12825963718820863,0.09047619047619049,,
Tibby,3,3,0.1955448201825011,0.04562271062271053,0.004516250944822373,0.07142857142857144,M,intermediate
Leonard,6,5,0.17576712329566258,0.20017628365487378,0.2571428571428572,0.28095238095238095,M,major
Fraulein Mosebach,1,0,0.1666666666666666,0.0,0.0,0.0,F,minor
Helen,6,6,0.15197918974897198,0.15120444903561628,0.10793650793650796,0.0761904761904762,F,major
Dolly,4,4,0.13476568925382262,0.199398854799503,0.007813681027966743,0.0,F,intermediate
Aunt Juley,3,4,0.1261851284095779,0.15795235030883098,0.021182917611489042,0.05,F,major
Frieda,2,1,0.1153846153846153,0.0499999999999999,0.0,0.009523809523809525,,
Mrs. Wilcox,2,3,0.1136536994660564,0.0039891818796484,0.012424414210128501,0.0,F,intermediate
Mr. Cunningham,1,1,0.111111111111111,0.0769230769230768,0.0,0.0,M,minor
Miss Avery,2,1,0.0506792058516196,0.0481540930979133,0.04761904761904762,0.04761904761904762,F,intermediate
Tom,1,1,0.0357142857142857,0.1346153846153846,0.0,0.0,,
Mr. Wilcox,3,4,0.034654043945769,0.2866373822256173,0.006944444444444445,0.0,M,major
His Father'S Chauffeur,1,1,0.0285714285714285,0.0789473684210526,0.0,0.0,M,minor
Mrs. Bast,1,1,0.0040816326530612,0.0272108843537414,0.0,0.0,F,minor
A Young Man Low Down In The Education Office,1,1,0.0,0.0,0.0,0.0,M,minor
Paul,1,1,0.0,0.0374999999999999,0.0,0.0,M,minor
The Parlourmaid,1,1,0.0,0.0220588235294117,0.0,0.0,F,minor
Madge,0,1,0.0,0.0,0.0,0.0,F,minor
