pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Aunt Juley→Charles Wilcox,0.1018518518518519,,0.0203703703703703,0.1185185185185185,-0.0541310541310541,,-0.0185185185185184,0.1203703703703703,
Aunt Juley→Helen,-0.0060606060606059,-0.0303030303030302,-0.0142857142857143,-0.05,,,-0.0095238095238096,0.0833333333333333,
Aunt Juley→Margaret,-0.001058201058201,0.0026455026455026,-0.0034722222222222,-0.0089399744572158,0.0333333333333333,0.1666666666666666,0.0589225589225589,0.0092592592592591,0.1096296296296296
Charles Wilcox→Aunt Juley,0.0833333333333333,0.1208791208791208,0.0025641025641025,0.0769230769230769,0.0999999999999999,,0.0174825174825175,0.0230769230769231,
Charles Wilcox→Dolly,-0.0117647058823529,,,,0.1657754010695187,,0.0931372549019607,0.0117647058823529,
Charles Wilcox→Henry,0.0114285714285713,-0.0447058823529412,-0.1466666666666666,-0.0399999999999999,-0.0633333333333333,,-0.0116666666666666,-0.0361904761904762,0.0499999999999999
Dolly→Charles Wilcox,,,,,0.0,,-0.0625,0.1999999999999999,
Dolly→Margaret,0.0208333333333333,0.0032051282051282,-0.0350877192982456,0.0416666666666666,-0.0294117647058823,,0.0592105263157894,0.0465686274509804,0.0643939393939393
Helen→Henry,-0.0197628458498023,0.0341614906832298,0.0066889632107023,0.0782608695652173,0.1660079051383399,,0.0489130434782608,0.0144927536231883,-0.0217391304347825
Helen→Leonard,-0.0418353576248312,0.1359649122807018,0.0095693779904306,0.0323464912280702,-0.0922467458970006,-0.1008771929824561,0.0573384681215233,-0.0646616541353384,0.1403508771929824
Helen→Margaret,-0.0124137931034482,-0.0075242718446602,0.0170588235294117,0.0391322314049586,0.0182352941176471,0.0147058823529411,0.0432432432432432,-0.0010526315789473,0.0760526315789473
Helen→Tibby,0.0042016806722688,0.1809954751131222,0.0404411764705882,0.0235294117647058,0.1040723981900452,0.0235294117647058,0.0441176470588234,0.0392156862745097,0.0490196078431372
Henry→Charles Wilcox,-0.0933333333333333,,0.0861538461538461,0.0872727272727272,-0.0184615384615384,,-0.0188235294117646,0.0766666666666666,
Henry→Helen,-0.0350877192982456,-0.0736842105263157,0.0043859649122807,,0.0334928229665071,,-0.0456140350877193,-0.0647773279352226,0.0263157894736842
Henry→Margaret,-0.0234945255474452,-0.0100580493131788,0.0108237747653806,0.0225216794559859,0.0127007299270073,0.0304136253041362,0.0045786330457863,0.0361255318318435,0.0112741201127412
Leonard→Helen,0.046046046046046,-0.0185185185185185,-0.1307870370370371,-0.005787037037037,0.0148148148148148,0.0925925925925925,0.0027777777777777,0.0292712066905614,-0.1137566137566137
Leonard→Margaret,-0.0163398692810456,0.1388888888888888,0.0198412698412698,0.0763888888888888,0.0631313131313131,,0.0192307692307692,0.0388888888888888,0.1055555555555555
Leonard→Mrs. Bast,,,0.1999999999999999,,0.0666666666666667,,-0.1153846153846153,0.0,
Margaret→Aunt Juley,0.1368131868131868,0.0384615384615384,-0.0153846153846154,-0.0122377622377622,-0.0294871794871794,-0.0807692307692307,-0.0247252747252747,-0.0064102564102564,0.0169230769230769
Margaret→Dolly,-0.0844444444444444,0.0233333333333333,0.0177777777777777,0.0699999999999999,0.0523076923076922,,-0.0352941176470589,-0.1085714285714286,
Margaret→Helen,-0.0200542005420053,0.0448170731707316,0.0356782906672041,0.0364262990455991,0.0735130509199829,-0.092576882290562,0.002105632567117,0.0266581086863499,-0.0560975609756097
Margaret→Henry,0.0735294117647059,0.0725465928945836,-0.0176470588235294,0.0252723311546841,0.0438224559896951,0.0406976744186046,0.0260431758910461,0.0388623240707325,0.0130761067313523
Margaret→Leonard,0.1439393939393939,0.1401515151515151,-0.0291375291375292,-0.0730837789661319,0.2,,0.0,-0.0574162679425837,0.2074592074592074
Margaret→Miss Avery,-0.0735930735930736,-0.1714285714285713,0.0238095238095238,-0.1238095238095238,0.0216450216450215,,0.0,-0.1298701298701298,
Margaret→Mrs. Wilcox,0.0121112929623568,0.0507122507122506,0.075134168157424,0.0840525328330206,0.1212669683257918,-0.0226720647773279,-0.0199095022624434,0.0884615384615384,0.0753315649867373
Margaret→Tibby,-0.0921052631578947,-0.019047619047619,-0.0451127819548872,0.0892857142857143,0.3149350649350649,-0.0247252747252747,-0.0469924812030075,-0.0413533834586466,
Miss Avery→Margaret,-0.0545454545454545,0.1293706293706293,0.0303030303030302,0.0,0.0,,0.0389610389610388,0.0555555555555555,-0.0757575757575758
Mrs. Bast→Leonard,,,,,,,0.15,,
Mrs. Wilcox→Margaret,0.0212499999999999,0.2008928571428571,-0.0198863636363636,0.0239583333333333,0.0747466216216216,0.0788043478260869,-0.0076650943396225,0.018531976744186,0.0129076086956521
Tibby→Helen,,0.0040485829959514,-0.048582995951417,,,,0.0526315789473684,,
Tibby→Margaret,,,0.0357142857142857,,0.032967032967033,,-0.0300751879699248,-0.0071428571428571,
