quoteID,quoteText,quoteBy,quoteTo
Q0,i can tell you nothing aunt juley i know no more than you do we met we only met the father and mother abroad last spring i know so little that i didn t even know their son s name it s all so,Margaret,['Aunt Juley']
Q1,in that case it is far too sudden,Aunt Juley,['Margaret']
Q2,who knows aunt juley who knows,Margaret,['Aunt Juley']
Q3,but margaret dear i mean we mustn t be unpractical now that we ve come to facts it is too sudden surely,Aunt Juley,['Margaret']
Q4,who knows,Margaret,['Aunt Juley']
Q5,but margaret dear,Aunt Juley,['Margaret']
Q6,i ll go for her other letters no i won t i ll finish my breakfast in fact i haven t them we met the wilcoxes on an awful expedition that we made from heidelberg to speyer helen and i had got it into our heads that there was a grand old cathedral at speyer the archbishop of speyer was one of the seven electors you know speyer maintz and koln those three sees once commanded the rhine valley and got it the name of priest street,Margaret,['Aunt Juley']
Q7,i still feel quite uneasy about this business margaret,Aunt Juley,['Margaret']
Q8,the train crossed by a bridge of boats and at first sight it looked quite fine but oh in five minutes we had seen the whole thing the cathedral had been ruined absolutely ruined by restoration not an inch left of the original structure we wasted a whole day and came across the wilcoxes as we were eating our sandwiches in the public gardens they too poor things had been taken in they were actually stopping at speyer and they rather liked helen s insisting that they must fly with us to heidelberg as a matter of fact they did come on next day we all took some drives together they knew us well enough to ask helen to come and see them at least i was asked too but tibby s illness prevented me so last monday she went alone that s all you know as much as i do now it s a young man out of the unknown she was to have come back saturday but put off till monday perhaps on account of i don t know,Margaret,['Aunt Juley']
Q9,the germans are too thorough and this is all very well sometimes but at other times it does not do,Aunt Juley,['Margaret']
Q10,exactly germans are too thorough,Margaret,['Aunt Juley']
Q11,of course i regard you schlegels as english english to the backbone,Aunt Juley,['Margaret']
Q12,and that reminds me helen s letter,Aunt Juley,['Margaret']
Q13,oh yes aunt juley i am thinking all right about helen s letter i know i must go down and see her i am thinking about her all right i am meaning to go down,Margaret,['Aunt Juley']
Q14,but go with some plan margaret if i may interfere don t be taken by surprise what do you think of the wilcoxes are they our sort are they likely people could they appreciate helen who is to my mind a very special sort of person do they care about literature and art that is most important when you come to think of it literature and art most important how old would the son be she says younger son would he be in a position to marry is he likely to make helen happy did you gather,Aunt Juley,['Margaret']
Q15,i gathered nothing,Margaret,['Aunt Juley']
Q16,then in that case,Aunt Juley,['Margaret']
Q17,in that case i can make no plans don t you see,Margaret,['Aunt Juley']
Q18,on the contrary,Aunt Juley,['Margaret']
Q19,i hate plans i hate lines of action helen isn t a baby,Margaret,['Aunt Juley']
Q20,then in that case my dear why go down,Aunt Juley,['Margaret']
Q21,i consider you odd girls and very wonderful girls and in many ways far older than your years but you won t be offended frankly i feel you are not up to this business it requires an older person dear i have nothing to call me back to swanage i am all at your disposal let me go down to this house whose name i forget instead of you,Aunt Juley,['Margaret']
Q22,aunt juley,Margaret,['Aunt Juley']
Q23,i must must go to howards end myself you don t exactly understand though i can never thank you properly for offering,Margaret,['Aunt Juley']
Q24,i do understand i go down in no spirit of interference but to make inquiries inquiries are necessary now i am going to be rude you would say the wrong thing to a certainty you would in your anxiety for helen s happiness you would offend the whole of these wilcoxes by asking one of your impetuous questions not that one minds offending them,Aunt Juley,['Margaret']
Q25,i shall ask no questions i have it in helen s writing that she and a man are in love there is no question to ask as long as she keeps to that all the rest isn t worth a straw a long engagement if you like but inquiries questions plans lines of action no aunt juley no,Margaret,['Aunt Juley']
Q26,if helen had written the same to me about a shop assistant or a penniless clerk,Margaret,['Aunt Juley']
Q27,dear margaret do come into the library and shut the door your good maids are dusting the banisters,Aunt Juley,['Margaret']
Q28,or if she had wanted to marry the man who calls for carter paterson i should have said the same though in the case of carter paterson i should want it to be a very long engagement indeed i must say,Margaret,['Aunt Juley']
Q29,i should think so and indeed i can scarcely follow you now just imagine if you said anything of that sort to the wilcoxes i understand it but most good people would think you mad imagine how disconcerting for helen what is wanted is a person who will go slowly slowly in this business and see how things are and where they are likely to lead to,Aunt Juley,['Margaret']
Q30,but you implied just now that the engagement must be broken off,Margaret,['Aunt Juley']
Q31,i think probably it must but slowly,Aunt Juley,['Margaret']
Q32,can you break an engagement off slowly,Margaret,['Aunt Juley']
Q33,what s an engagement made of do you suppose i think it s made of some hard stuff that may snap but can t break it is different to the other ties of life they stretch or bend they admit of degree they re different,Margaret,['Aunt Juley']
Q34,exactly so but won t you let me just run down to howards house and save you all the discomfort i will really not interfere but i do so thoroughly understand the kind of thing you schlegels want that one quiet look round will be enough for me,Aunt Juley,['Margaret']
Q35,yes i have changed my mind i do wish that you would go,Margaret,['Aunt Juley']
Q36,you will remember aunt juley not to be drawn into discussing the engagement give my letter to helen and say whatever you feel yourself but do keep clear of the relatives we have scarcely got their names straight yet and besides that sort of thing is so uncivilised and wrong,Margaret,['Aunt Juley']
Q37,so uncivilised,Aunt Juley,['Margaret']
Q38,oh i used an affected word i only meant would you please talk the thing over only with helen,Margaret,['Aunt Juley']
Q39,only with helen,Aunt Juley,['Margaret']
Q40,because,Margaret,['Aunt Juley']
Q41,then we should be together dear,Aunt Juley,['Margaret']
Q42,i did manage that at all events when the smash comes poor margaret will have a nest egg to fall back upon,Aunt Juley,[]
Q43,i want a house its name is howards lodge do you know where it is,Aunt Juley,['The Ticket Boy']
Q44,mr wilcox,The Ticket Boy,"['Aunt Juley', 'Charles Wilcox']"
Q45,she s wanting howards end,The Ticket Boy,"['Aunt Juley', 'Charles Wilcox']"
